name,city,country,address,phone,website,openingHours,kashrut,restaurantType,category,priceRange,notes,sourceUrl,scrapedAt
"כרטיסים מוזלים לאטרקציות בברצלונה:","Barcelona","Spain","","","https://www.booking.com/hotel/es/modernobarcelona.html?aid=1221689&no_rooms=1&group_adults=1","","","unknown","","","בברצלונה חשוב מאד לבחור מלון במיקום מרכזי. זה יחסוך לכם פעמים רבות שימוש בתחבורה ציבורית וזמן רב. אני ממליצה לבחור מקום לינה קרוב לרמבלה ולרובע הגותי. במידה ומתכננים לשהות בעיר בשבת כדאי להזמין מקום לינה קרוב לבית חב""ד או למתחם הקהילה היהודית.","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-barcelona/","2026-05-27T13:04:40.087Z"
"מלונות קצת יותר יקרים – למי שרוצה להשקיע ולהתפנק","Barcelona","Spain","","","https://www.booking.com/hotel/es/the-serras.he.html?aid=1221689&no_rooms=1&group_adults=1","","","unknown","","","","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-barcelona/","2026-05-27T13:04:40.087Z"
"מלונות בקרבת בית חב""ד","Barcelona","Spain","","","https://www.booking.com/hotel/es/nhlescorts.html?aid=1221689&no_rooms=1&group_adults=1","","","unknown","","","הצטרפו לאלפי מטיילים אחרים וקבלו ישר למייל את המאמרים הכי מקיפים ופרקטיים למטיילים שומרי מצוות בחו""ל. הירשמו כאן:","https://metaylimbkipa.com/kosher-restaurants-abroad/kosher-restaurants-in-barcelona/","2026-05-27T13:04:40.088Z"
