id,status,confidence,name_sim,distance_m,old_name,google_name,name_updated,old_address,new_address,coords_fixed,reason
1290,no_match,0.2,0.333,3974,קפה עלית-אספרסו בר,Elite Coffee Station in Ashkelon,no,"פאואר סנטר סילבר, אשקלון, Israel",,no,dist=3974m name=0.33 no-match
1291,no_match,0.2,0.750,1800,מקדונלד'ס,McDonald's,no,"שד' בן גוריון 21, קניון גירון, אשקלון, Israel",,no,dist=1800m name=0.75 no-match
1292,flagged,0.7,0.250,239,קאריבו,Sheba Mall,no,"אנטיב 8, קניון מלכת שבא, אילת, Israel",,no,dist=239m name=0.25 needs-review
1293,no_match,0.2,0.154,972,Coffeat,Black Gold Coffee Boutique Ashdod,no,"אדר 4, אשדוד, Israel",,no,dist=972m name=0.15 no-match
1294,verified,0.88,1.000,164,המאפה של רונה,המאפה של רונה בע''מ,yes,"הרצל 32, אשקלון, Israel","Herzl St 32, Ashkelon, Israel",yes,dist=164m name=1.00 near+name
1295,verified,0.88,1.000,210,ריבס הכשרה,ריבס הכשרה,yes,"אורט 1, נמל אשדוד, Israel","Ort St 1, Ashdod, Israel",yes,dist=210m name=1.00 near+name
1296,no_match,0.2,0.250,4561,המזנון של מושון,Ha-Nasi 1 Pub,no,"המתכנן 1, אשקלון, Israel",,no,dist=4561m name=0.25 no-match
1297,flagged,0.6,0.167,35,ג'אדי,מוסך א.ישראל,no,"הנגר 1, אילת, Israel",,no,dist=35m name=0.17 proximity-name-mismatch
1298,no_match,0.2,0.300,2418,בול סנדוויץ' בר,sandwich bar,no,"שד' משה סנה, אשדוד, Israel",,no,dist=2418m name=0.30 no-match
1299,no_match,0.2,0.333,2574,פרלה אשדוד,PERLA,no,"שד' משה סנה, אשדוד, Israel",,no,dist=2574m name=0.33 no-match
1300,flagged,0.4,1.000,254,פיצה לוצה,פיצה לוצה,no,"נווה, Israel",,no,dist=254m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1301,no_match,0.2,0.143,1358,הסוד,דואר ישראל,no,"שדרות תמר 1, להבים, Israel",,no,dist=1358m name=0.14 no-match
1302,verified,0.95,1.000,57,גן עדן,מסעדת גן עדן,yes,"קהילת מילנו 55, שדרות, Israel","Kehilat Milano St, Sderot, Israel",yes,dist=57m name=1.00 close-proximity
1303,flagged,0.4,1.000,135,גרין פלאפל,גרין פלאפל,no,"נחל לכיש 21, אשדוד, Israel",,no,dist=135m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1304,verified,0.88,0.500,116,פיצה פרגו,Pizza Fargo,no,"אנפה 1, אילת, Israel","מרכז מור, Anafa 1, Eilat, Israel",yes,dist=116m name=0.50 near+name
1306,flagged,0.4,1.000,1864,דיינר 24,דיינר 24 - Diner 24,no,"דימונה, Israel",,no,dist=1864m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1307,verified,0.95,1.000,61,בית הפול והשווארמה דימונה,בית הפול והשווארמה - דימונה תחנה מרכזית | חומוס | פלאפל | סביח | שניצל | שווארמה | משלוחים,yes,"שד' הרצל, דימונה, Israel","Sderot Golda Me'ir, Dimona, Israel",yes,dist=61m name=1.00 close-proximity
1308,no_match,0.2,0.455,291,הסושיה,אושי אושי באר שבע,no,"שד' יצחק רגר 2, קניון הנגב, Israel",,no,dist=291m name=0.45 no-match
1309,flagged,0.7,1.000,1119,בורגרים,"בורגרים קרית גת, כשר בשר חלק",no,"שד' משה 25, קריית גת, Israel",,no,dist=1119m name=1.00 needs-review
1310,verified,0.95,1.000,48,פיצה האט,Pizza Hut,no,"אלי כהן 21, אשקלון, Israel","Eli Cohen St 21, Ashkelon, Israel",yes,dist=48m name=1.00 close-proximity
1311,flagged,0.7,1.000,316,חן הלחם,חן הלחם. אשדוד,no,"העבודה 18, נמל אשדוד, Israel",,no,dist=316m name=1.00 needs-review
1312,verified,0.95,1.000,4,פלאפל הגשר,פלאפל הגשר,yes,"שד' יעלים 32, באר שבע, Israel","Sderot Ye'elim 3, Beersheba, 8456316, Israel",yes,dist=4m name=1.00 close-proximity
1313,flagged,0.7,0.250,188,פיצה סופיה,Sofia Pizza,no,"אמציה, Israel",,no,dist=188m name=0.25 needs-review
1314,no_match,0.2,1.000,1289,ג'ט לק שדרות,ג'ט לק שדרות Jetlek,no,"דרך מנחם בגין 7, שדרות, Israel",,no,dist=1289m name=1.00 no-match
1315,no_match,0.2,0.176,1332,בית האוכל המוכן,מאמא אירועי בוטיק,no,"שד' ישראל פולק 51, קריית גת, Israel",,no,dist=1332m name=0.18 no-match
1316,flagged,0.4,1.000,328,פיצריית המושבה,פיצריית המושבה,no,"עוצם, Israel",,no,dist=328m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1317,flagged,0.7,1.000,751,כיכר הטעמים,כיכר הטעמים,no,"וינגייט 2, באר שבע, Israel",,no,dist=751m name=1.00 needs-review
1319,flagged,0.7,1.000,283,cofix,COFIX,no,"ככר פז 62, קריית גת, Israel",,no,dist=283m name=1.00 needs-review
1320,verified,0.95,1.000,66,המגש החם,המגש החם,yes,"יהושע ייבין 2, באר שבע, Israel","Yehoshua Yevin St 2, Be'er Sheva, Israel",yes,dist=66m name=1.00 close-proximity
1321,verified,0.88,0.600,165,הבורקס של פארוק,בורקס בבאלך,no,"אשקלון, Israel","Ha-Gvura St 1, Ashkelon, Israel",yes,dist=165m name=0.60 near+name
1322,no_match,0.2,0.143,1549,מנגה בר,Soroka Medical Center,no,"שד' יצחק רגר 85, מרכז רפואי אוניברסיטאי סורוקה, באר שבע, Israel",,no,dist=1549m name=0.14 no-match
1323,flagged,0.7,1.000,862,ארומה,ארומה Aroma,no,"שד' יצחק רגר, אוניברסיטת בן-גוריון בנגב, באר שבע, Israel",,no,dist=862m name=1.00 needs-review
1324,flagged,0.7,1.000,322,סומבררו,סומבררו,no,"בורנשטיין 801, ירוחם, Israel",,no,dist=322m name=1.00 needs-review
1325,no_match,0.2,0.500,1431,קייטרינג נאני,קייטרינג חלבי בבאר שבע - פריקאצ'ה,no,"אטד 73, באר שבע, Israel",,no,dist=1431m name=0.50 no-match
1326,verified,0.95,0.833,21,בורגרים,Burgerim,no,"בית אשל 21, באר שבע, Israel","Beit Eshel St 21, Be'er Sheva, Israel",yes,dist=21m name=0.83 close-proximity
1327,verified,0.95,0.429,50,המקסיקני,מקסיקני באשדוד,no,"הגדוד העברי 5, אשדוד, Israel","Ha-Gdud ha-Ivri St, Ashdod, Israel",yes,dist=50m name=0.43 close-proximity
1328,flagged,0.4,1.000,116,שיפודית השף קרית גת,שיפודית השף קרית גת,no,"היסמין 97, קריית גת, Israel",,no,dist=116m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1329,verified,0.88,0.500,181,אחלה אילת,Achla - Platinum Grill,no,"קאמן 1, אילת, Israel","קאמן 1 אילת IL 88000, Kamen 1, Eilat, Israel",yes,dist=181m name=0.50 near+name
1330,no_match,0.2,0.333,1232,קייטרינג ברמה אחרת,אולמי האצולה קייטרינג האצולה,no,"הרב הרצוג 5, אשדוד, Israel",,no,dist=1232m name=0.33 no-match
1331,verified,0.88,1.000,156,פיצה דהרי,דהרי,yes,"רשב""י 15, אשדוד, Israel","Rashbi St 14, Ashdod, Israel",yes,dist=156m name=1.00 near+name
1332,flagged,0.7,1.000,877,ישראלי קריספי,ישראלי קריספי,no,"יוסף סמלו 1, נתיבות, Israel",,no,dist=877m name=1.00 needs-review
1333,no_match,0.2,0.200,971,PIERO BAR,Ha-Nasi 1 Pub,no,"הנשיא 3, אשקלון, Israel",,no,dist=971m name=0.20 no-match
