id,status,confidence,name_sim,distance_m,old_name,google_name,name_updated,old_address,new_address,coords_fixed,reason
1405,flagged,0.7,0.778,550,לחם ברויטמן,Lechem Broitman Bakery,no,"האלמוגים 17, אילת, Israel",,no,dist=550m name=0.78 needs-review
1407,no_match,0.2,0.429,3261,בזיליקום,Basilika - Italian Restaurant,no,"צה""ל 6, אשקלון, Israel",,no,dist=3261m name=0.43 no-match
1408,verified,0.88,1.000,91,אללתה מטבח אתיופי אותנטי,אללתה - מטבח אתיופי אותנטי,yes,"הרצל 33, אשקלון, Israel","Herzl St 33, Ashkelon, 7860132, Israel",yes,dist=91m name=1.00 near+name
1409,verified,0.88,1.000,92,קפה גרג,קפה גרג,yes,"בעלי המלאכה 5, צים סנטר נתיבות, Israel","Ba'alei ha-Melakha St 5, Netivot, Israel",yes,dist=92m name=1.00 near+name
1410,no_match,0.2,0.222,457,ברכת השובע,פושטק,no,"העבודה 31, אשקלון, Israel",,no,dist=457m name=0.22 no-match
1411,flagged,0.7,1.000,755,טובלה בעיר,טובל'ה בעיר,no,"שדרות, Israel",,no,dist=755m name=1.00 needs-review
1412,verified,0.88,0.500,113,פיצה גוטה,Gute Pizza,no,"ביאליק 26, באר שבע, Israel","מרכז חן, חיים נחמן ביאליק 26, באר שבע, Israel",yes,dist=113m name=0.50 near+name
1414,flagged,0.4,1.000,401,טוניס אורגינל,מסעדת טוניס אורגינל,no,"יוסף סמלו 78, נתיבות, Israel",,no,dist=401m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1415,no_match,0.2,0.556,1890,שניצל יוסף,Schnitzel Yosef,no,"בעלי מלאכה 11, נמל אשדוד, Israel",,no,dist=1890m name=0.56 no-match
1416,flagged,0.4,0.273,4680,הביגה,ביגה אשקלון,no,"אשקלון, Israel",,no,dist=4680m name=0.27 business=CLOSED_PERMANENTLY (non-operational)
1417,flagged,0.7,1.000,415,פיצה ביאנקה,ביאנקה - Bianca,no,"אלי כהן 34, אשקלון, Israel",,no,dist=415m name=1.00 needs-review
1418,verified,0.95,1.000,50,יהלי שירותי הסעדה,יהלי שירותי הסעדה,yes,"שאר ישוב 1, שדרות, Israel","She'ar Yashuv St 1, Sderot, Israel",yes,dist=50m name=1.00 close-proximity
1419,flagged,0.7,0.333,220,פיצה מון אמי,mishlohim pizza,no,"חרוב 26, דימונה, Israel",,no,dist=220m name=0.33 needs-review
1420,flagged,0.7,0.250,93,אלברטו,פבלה pavella,no,"מרטין בובר 1, אשדוד, Israel",,no,dist=93m name=0.25 needs-review
1421,no_match,0.2,0.545,2498,r.m קייטרינג לאירועים,"לי - בר קייטרינג יפרח בע""מ",no,"קריית גת, Israel",,no,dist=2498m name=0.55 no-match
1422,verified,0.88,1.000,139,פיצה של אפרים,הפיצה של אפרים,yes,"הנשיא 97, אשקלון, Israel","Ha-Nasi St 97, Ashkelon, Israel",yes,dist=139m name=1.00 near+name
1424,no_match,0.2,0.091,1810,רוסו פומדורו,Big Beer Sheva,no,"דרך אליהו נאוי 18, ביג באר שבע, Israel",,no,dist=1810m name=0.09 no-match
1425,flagged,0.6,0.200,20,אלפרדו,Razin Center,no,"אילות 31, אילת, Israel",,no,dist=20m name=0.20 proximity-name-mismatch
1426,no_match,0.2,1.000,19265,שיפודי האווז,שיפודי האווז,no,"פאואר סנטר סילבר, אשקלון, Israel",,no,dist=19265m name=1.00 no-match
1429,flagged,0.4,1.000,695,המרוקאית הקטנה,המרוקאית הקטנה,no,"שד' יגאל אלון 10, דימונה, Israel",,no,dist=695m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1430,verified,0.88,1.000,144,פיצה האט,פיצה האט - שדרות,yes,"דרך מנחם בגין, שדרות, Israel","מרכז מול 7, שדרות, Israel",yes,dist=144m name=1.00 near+name
1431,flagged,0.7,0.200,187,האיטלקיה הקטנה,The little Italian,no,"לואי פיקרד 2, באר שבע, Israel",,no,dist=187m name=0.20 needs-review
1432,flagged,0.7,1.000,1030,פיצה האיטלקיה,פיצה האיטלקיה אשקלון,no,"אלי כהן 40, אשקלון, Israel",,no,dist=1030m name=1.00 needs-review
1433,flagged,0.7,0.000,132,פיצה סופרר,פיצה כמעט חינם,no,"בן יהודה 5, שדרות, Israel",,no,dist=132m name=0.00 needs-review
1434,flagged,0.7,1.000,428,הפינה של אילן,הפינה של אילן נתיבות,no,"יוסף סמלו 201, נתיבות, Israel",,no,dist=428m name=1.00 needs-review
1435,no_match,0.2,0.000,1483,קפה קפה,קפה רות,no,"שד' התמרים, אילת, Israel",,no,dist=1483m name=0.00 no-match
1436,flagged,0.7,1.000,371,טריפוליטנה,טריפוליטנה,no,"החלוץ 120, באר שבע, Israel",,no,dist=371m name=1.00 needs-review
1437,flagged,0.7,1.000,298,פיצה מוצרלה,פיצה מוצרלה,no,"רחבעם זאבי 4, אשקלון, Israel",,no,dist=298m name=1.00 needs-review
1438,no_match,0.2,0.500,1485,New Deli ניו דלי אשדוד,ניודלי Newdeli,no,"שד' מנחם בגין 1, מרכז צימר אשדוד, Israel",,no,dist=1485m name=0.50 no-match
1439,verified,0.88,1.000,183,ג'אפן ג'אפן מצפה רמון,גאפן גאפן,yes,"שד' בן גוריון 2, מצפה רמון, Israel","מתחם אבן דרך, Sderot David Ben Gurion 2, Mitzpe Ramon, Israel",yes,dist=183m name=1.00 near+name
1440,no_match,0.2,0.545,17849,פלאפל משיח ניסים,פלאפל צנעני,no,"שד' בן גוריון 25, אשקלון, Israel",,no,dist=17849m name=0.55 no-match
1441,no_match,0.2,0.000,453,פיצה העמק,easy pizza - איזי פיצה,no,"מורדי הגטאות 4, אשדוד, Israel",,no,dist=453m name=0.00 no-match
1442,no_match,0.2,0.571,634,אטמוספרה,Atmosphera,no,"ז'בוטינסקי 29, אשדוד, Israel",,no,dist=634m name=0.57 no-match
1443,no_match,0.2,0.200,294,א.ב שרותי מזון,מיני בית,no,"המלך שאול 28, באר שבע, Israel",,no,dist=294m name=0.20 no-match
1444,no_match,0.2,1.000,2126,קמפאי סטריט ווק,Kampai Street Wok - קמפאי סטריט ווק,no,"גור דב 13, אשדוד, Israel",,no,dist=2126m name=1.00 no-match
1445,no_match,0.2,0.185,2170,אצל קמילו,"מריולו - אוכל ביתי חם וטרי בכל יום, בשישי ולאירועים",no,"אשקלון, Israel",,no,dist=2170m name=0.19 no-match
1446,flagged,0.6,0.250,67,האומן 9,Haoman 9- Coffee Confectionery,no,"האומן 9, אילת, Israel",,no,dist=67m name=0.25 proximity-name-mismatch
1447,flagged,0.7,0.667,704,קפטן בורגר אילת,קפטן בורגר Captain Burger,no,"אילת, Israel",,no,dist=704m name=0.67 needs-review
1449,flagged,0.6,0.100,31,עץ הזית,Olive Tree Restaurant,no,"המנוף 9, באר שבע, Israel",,no,dist=31m name=0.10 proximity-name-mismatch
1450,no_match,0.2,0.429,311,בורגראנץ' אשקלון,Burgeranch,no,"דרך אליהו נאוי 12, ביג באר שבע, Israel",,no,dist=311m name=0.43 no-match
1451,flagged,0.7,0.667,597,מסעדת ללו,Lalo's restaurant,no,"חורב 259, אילת, Israel",,no,dist=597m name=0.67 needs-review
1452,verified,0.88,1.000,81,פושטק,פושטק,yes,"הרצל 5, אשקלון, Israel","בית פרנק, Hertsel 5, Ashkelon, Israel",yes,dist=81m name=1.00 near+name
1453,no_match,0.2,0.217,463,Black & White סנדוויץ' בר טורטייה,מקסיקו 70 - טורטיה ומקסיקני בשדרות,no,"ככר הנשיא 7, שדרות, Israel",,no,dist=463m name=0.22 no-match
1454,verified,0.88,1.000,211,ארומה,Aroma Espresso Bar ארומה אספרסו בר,yes,"ככר פז 3, קריית גת, Israel","שדרות לכיש קניון לב העיר, Kiryat Gat, 8201816, Israel",yes,dist=211m name=1.00 near+name
1455,flagged,0.4,0.667,1742,מסעדת ספרא,safra,no,"יוסף הבורסקאי 18, באר שבע, Israel",,no,dist=1742m name=0.67 business=CLOSED_PERMANENTLY (non-operational)
1456,no_match,0.2,0.500,1311,שיפודי אילת,שיפודי איצ'י - Shipudey Itchi,no,"קאמפן 8, אילת, Israel",,no,dist=1311m name=0.50 no-match
1458,verified,0.88,1.000,202,בית הסנדוויץ הטוניסאי,בית הסנדוויץ הטוניסאי,yes,"הזית 56, קריית גת, Israel","Ha-Zayit St 56, Kiryat Gat, Israel",yes,dist=202m name=1.00 near+name
1459,flagged,0.7,1.000,456,מטעמי רוימי,מטעמי רוימי,no,"ירוחם, Israel",,no,dist=456m name=1.00 needs-review
1460,flagged,0.6,0.200,49,גותה,שדרות,no,"הדגל 4, שדרות, Israel",,no,dist=49m name=0.20 proximity-name-mismatch
1461,flagged,0.4,1.000,82,תבשילי העמק,תבשילי העמק,no,"הפועלים 16, באר שבע, Israel",,no,dist=82m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1462,verified,0.88,1.000,208,המקום של ניב,המקום של ניב,yes,"ההסתדרות 40, קניון לב אשקלון, Israel","Ha-Histadrut St 40, Ashkelon, Israel",yes,dist=208m name=1.00 near+name
1463,verified,0.95,1.000,14,השיפוד והמנגל,השיפוד והמנגל אשדוד,yes,"חטיבת כרמלי 20, אשדוד, Israel","Hativat Carmeli St 3, Ashdod, Israel",yes,dist=14m name=1.00 close-proximity
1464,no_match,0.2,0.000,1657,גוונים בקפה,Shades Cafe,no,"נוה שלום 32, אשקלון, Israel",,no,dist=1657m name=0.00 no-match
1465,flagged,0.7,0.111,219,מקדונלד'ס,גבטו- קרית גת,no,"ככר פז 3, קריית גת, Israel",,no,dist=219m name=0.11 needs-review
1466,verified,0.95,1.000,28,Bar Bakery,בייקרי בר- Bakery Bar,yes,"אייר 6, אשקלון, Israel","Iyar St 6, Ashkelon, Israel",yes,dist=28m name=1.00 close-proximity
1467,flagged,0.7,1.000,344,המטבח המרוקאי אשדוד,המטבח,no,"הראשונים 3, אשדוד, Israel",,no,dist=344m name=1.00 needs-review
1468,no_match,0.2,0.167,831,קפה קפה,קפה הילי | Hilly Cafe,no,"דרך מנחם בגין, שדרות, Israel",,no,dist=831m name=0.17 no-match
1469,no_match,0.2,1.000,3627,קייטרינג שף,הסכין והקרש-שף פרטי-עדי אליהו-קייטרינג- באר שבע,no,"באר שבע, Israel",,no,dist=3627m name=1.00 no-match
1470,no_match,0.2,0.700,3649,שניצל פלייס,Schnitzel Place,no,"אשדוד, Israel",,no,dist=3649m name=0.70 no-match
1471,verified,0.95,1.000,62,"מאפיית איכות חורי בע""מ","מאפיית איכות חורי בע""מ",yes,"הרצל 33, שדרות, Israel","מול בנק הפועלים, הרצל 33, שדרות, Israel",yes,dist=62m name=1.00 close-proximity
1472,no_match,0.2,0.647,2580,אולמי פרדייז,אולם בוטיק פרדייז,no,"שלזינגר 1, נמל אשדוד, Israel",,no,dist=2580m name=0.65 no-match
1473,no_match,0.2,1.000,2577,קיארה,קיארה לאונג׳ בר Kiara Lounge Bar,no,"קטינקא ברוך 2, באר שבע, Israel",,no,dist=2577m name=1.00 no-match
1474,flagged,0.4,1.000,704,מיטל,מיטל מטבח בריא,no,"ככר הנשיא 10, שדרות, Israel",,no,dist=704m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1475,no_match,0.2,0.500,696,פלאפל צנעני,פלאפל כרמי סטאר סנטר אשדוד,no,"ז'בוטינסקי 45, סטאר סנטר, אשדוד, Israel",,no,dist=696m name=0.50 no-match
1476,no_match,0.2,0.667,3051,שניצל סאן,שניצל בוארון,no,"רחבעם זאבי 4, אשקלון, Israel",,no,dist=3051m name=0.67 no-match
1477,verified,0.88,0.692,159,קריולו בוטיק,קריולו - מטבח איטלקי 🍝,no,"קק""ל 26, באר שבע, Israel","Kakal St 75, Be'er Sheva, Israel",yes,dist=159m name=0.69 near+name
1479,no_match,0.2,0.294,1234,הבורקס הטורקי האורגינל,Turkish Original Burekas,no,"הפועלים 5, דימונה, Israel",,no,dist=1234m name=0.29 no-match
1480,verified,0.95,0.800,52,רולדין,Roladin,no,"מח""ל 1, אשקלון, Israel","המח""ל 1, Ashkelon, Israel",yes,dist=52m name=0.80 close-proximity
1481,no_match,0.2,0.000,401,טוריקס,Yosef Samelo St 78,no,"יוסף סמלו 78, נתיבות, Israel",,no,dist=401m name=0.00 no-match
1482,flagged,0.4,1.000,803,צ'יף בורגר,צ'יף בורגר אילת - כשר למהדרין,no,"שד' יעלים 14, אילת, Israel",,no,dist=803m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1483,no_match,0.2,0.333,1124,מפגש השייח',בית הסביח,no,"שד' התמרים 133, אילת, Israel",,no,dist=1124m name=0.33 no-match
1485,flagged,0.4,0.182,1003,פינת הלב הרחב,Halev Ha'rahav Cornet,no,"המלך שאול 109, באר שבע, Israel",,no,dist=1003m name=0.18 business=CLOSED_PERMANENTLY (non-operational)
1486,flagged,0.7,1.000,871,אופוריה מסעדה חלבית,פיצה אופוריה,no,"שד' ירושלים 430, נתיבות, Israel",,no,dist=871m name=1.00 needs-review
1487,verified,0.88,0.600,197,שיפודים גריל ישראלי,שיפוד הזהב,no,"ככר צפניה 4, אשקלון, Israel","Sderot David Ben Gurion 25, Ashkelon, Israel",yes,dist=197m name=0.60 near+name
1488,no_match,0.2,0.333,990,Cofizz,Coffee Coffee,no,"נתיבות, Israel",,no,dist=990m name=0.33 no-match
1489,flagged,0.4,0.636,147,חזן מרכז השווארמה,Hazan shawarma Center,no,"הרצל 20, שדרות, Israel",,no,dist=147m name=0.64 business=CLOSED_PERMANENTLY (non-operational)
1490,flagged,0.7,1.000,456,רוניתא,קייטרינג רוניתא | קייטרינג בשרי וחלבי,no,"מדרשת בן גוריון, Israel",,no,dist=456m name=1.00 needs-review
1491,flagged,0.7,0.667,839,ביגה,Biga,no,"שד' דוד טוביהו 125, באר שבע, Israel",,no,dist=839m name=0.67 needs-review
1492,no_match,0.2,1.000,2766,המאפה הצרפתי,המאפה הצרפתי,no,"שד' ירושלים 29, נתיבות, Israel",,no,dist=2766m name=1.00 no-match
1493,flagged,0.7,1.000,349,צ'נה אילת,ביאנקה (מסעדה כשרה באילת - לשעבר צ'נה אילת),no,"קאמן 17, אילת, Israel",,no,dist=349m name=1.00 needs-review
1494,verified,0.95,1.000,59,השיפודיה,השיפודיה,yes,"אוסלו 6, שדרות, Israel","Oslo St 6, Sderot, Israel",yes,dist=59m name=1.00 close-proximity
1495,verified,0.95,1.000,52,ארומה,Aroma Espresso Bar ארומה אספרסו בר,yes,"פרץ סנטר 1, פרץ סנטר דימונה, Israel","קניון פרץ סנטר, דימונה, Israel",yes,dist=52m name=1.00 close-proximity
1496,flagged,0.7,1.000,821,טעמים,מסעדת טעמים,no,"המדע 35, נמל אשדוד, Israel",,no,dist=821m name=1.00 needs-review
1497,flagged,0.6,0.125,29,השניצליה,Peretz Center Mall,no,"פרץ סנטר, דימונה, Israel",,no,dist=29m name=0.13 proximity-name-mismatch
1498,no_match,0.2,0.500,348,סנדביץ בר,sandwich bar,no,"כנרת 5, אשדוד, Israel",,no,dist=348m name=0.50 no-match
1499,verified,0.88,1.000,202,סומבררו,סומבררו נתיבות,yes,"יוסף סמלו 42, נתיבות, Israel","Yosef Samelo St 42, Netivot, 8020000, Israel",yes,dist=202m name=1.00 near+name
1500,flagged,0.7,0.625,814,בורגראנץ',Burgeranch,no,"הנגרים 14, באר שבע, Israel",,no,dist=814m name=0.63 needs-review
1501,flagged,0.7,1.000,407,קאסה,קאסה - CASA - Lounge Bar & Restaurant,no,"המלאכה 26, דימונה, Israel",,no,dist=407m name=1.00 needs-review
1502,flagged,0.4,1.000,257,פיצה פצץ,פיצה פצץ קרית גת,no,"הזית 41, קריית גת, Israel",,no,dist=257m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1504,no_match,0.2,0.636,1897,הירושלמי,חומוס ירושלמי,no,"העמל 41, נמל אשדוד, Israel",,no,dist=1897m name=0.64 no-match
1505,flagged,0.4,1.000,573,שווארמת השמן,השמן,no,"ז'בוטינסקי 43, סטאר סנטר, אשדוד, Israel",,no,dist=573m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1506,no_match,0.2,1.000,2761,בורגר גריל בר,בורגר סטיישן אשקלון BURGER STATION ASHKELON,no,"ביאליק 55, אשקלון, Israel",,no,dist=2761m name=1.00 no-match
1507,verified,0.88,1.000,116,פיצה בלה,פיצה בלה אשדוד,yes,"חיים משה שפירא 22, אשדוד, Israel","Haim Moshe Shapira St 22, Ashdod, Israel",yes,dist=116m name=1.00 near+name
1508,flagged,0.7,0.333,223,פיצה חיון,Pizza Hut,no,"בעלי המלאכה 17, צים סנטר נתיבות, Israel",,no,dist=223m name=0.33 needs-review
1509,flagged,0.4,1.000,457,טאץ' בורגר,טאצ׳ בורגר,no,"יוסף סמלו 9, נתיבות, Israel",,no,dist=457m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1510,flagged,0.4,1.000,1790,פיצה פרגו,פרגו פיצה בבאר שבע,no,"אפרים 112, באר שבע, Israel",,no,dist=1790m name=1.00 business=CLOSED_TEMPORARILY (non-operational)
1511,no_match,0.2,0.286,713,יקוטה,גאטוס בחאן,no,"הרצל 5, אשקלון, Israel",,no,dist=713m name=0.29 no-match
1513,flagged,0.6,0.118,3,e talya,בית מרקחת תל חי (מאושר קנאביס),no,"שדרות תל חי 63, אשדוד, Israel",,no,dist=3m name=0.12 proximity-name-mismatch
1514,verified,0.95,1.000,33,פיצה המרכזית,פיצה המרכזית,yes,"יצחק בן צבי 4, קניון הנגב, Israel","תחנה מרכזית, Beersheba, Israel",yes,dist=33m name=1.00 close-proximity
1515,flagged,0.7,0.800,358,ביג אפל פיצה,Big Apple Pizza,no,"שד' התמרים 45, אילת, Israel",,no,dist=358m name=0.80 needs-review
1516,flagged,0.6,0.118,48,פינה קוזינה,קובה בר באר שבע KUBA,no,"התקווה 11, באר שבע, Israel",,no,dist=48m name=0.12 proximity-name-mismatch
1517,verified,0.95,0.500,68,אננייה מטבח אתיופי אותנטי,אנניה,no,"שפינוזה 7, אשקלון, Israel","Shpinoza St 7, Ashkelon, Israel",yes,dist=68m name=0.50 close-proximity
1518,no_match,0.2,1.000,90361,סול דאנס בר,Sol Dance Academy - סול דאנס אקדמי,no,"יוסף סמלו 303, נתיבות, Israel",,no,dist=90361m name=1.00 no-match
1519,flagged,0.4,0.600,274,השניצליה ערד,Hashnitzeliya,no,"שמיר 11, צים סנטר ערד, Israel",,no,dist=274m name=0.60 business=CLOSED_PERMANENTLY (non-operational)
1520,no_match,0.2,1.000,1862,קפה הילה,קפה הילה,no,"אשדוד, Israel",,no,dist=1862m name=1.00 no-match
1521,flagged,0.7,1.000,338,פיצה פומודורי,פיצה פומודורי,no,"כנרת 5, אשדוד, Israel",,no,dist=338m name=1.00 needs-review
1522,verified,0.88,0.667,154,שווארמה הפינה אקספרס נתיבות,הפינה של אילן נתיבות,no,"רבי עקיבא, נתיבות, Israel","Yosef Samelo St 201, Netivot, Israel",yes,dist=154m name=0.67 near+name
1523,flagged,0.4,1.000,165,סין צ'אן אשקלון,סין צ'אן אשקלון,no,"רחבעם זאבי 4, אשקלון, Israel",,no,dist=165m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1524,no_match,0.2,0.286,1272,דרך האוכל,"ד""ר שניצל - שדרות",no,"שדרות, Israel",,no,dist=1272m name=0.29 no-match
1525,flagged,0.7,1.000,988,דודא לפיצה,דודא לפיצה,no,"אלי כהן 42, אשקלון, Israel",,no,dist=988m name=1.00 needs-review
1526,verified,0.88,1.000,86,פיצה סמילנו,פיצה סמילנו,yes,"יהודה הלוי 36, אשקלון, Israel","Yehuda Halevi St 36, Ashkelon, Israel",yes,dist=86m name=1.00 near+name
1527,verified,0.88,1.000,123,טופ בורגר י,טופ בורגר,yes,"צה""ל 23, אשקלון, Israel","Tsahal St 23, Ashkelon, Israel",yes,dist=123m name=1.00 near+name
1528,no_match,0.2,0.182,1483,קונדיטורית הטעם,Dudu Outmezgine,no,"העמל 17, נמל אשדוד, Israel",,no,dist=1483m name=0.18 no-match
1529,verified,0.88,1.000,124,קונדיטוריית דובדבן,קונדיטוריית דובדבן,yes,"שד' הרצל 110, דימונה, Israel","Sderot Herzl 30, Dimona, Israel",yes,dist=124m name=1.00 near+name
1530,no_match,0.2,0.263,1519,לה שיפוד,שיפודאלי- חווית בשר יוקרתית,no,"מ""ד המעפילים 4, דימונה, Israel",,no,dist=1519m name=0.26 no-match
1531,verified,0.95,1.000,71,בית מאפה אללוף,בית מאפה אללוף חיים,yes,"בורנשטיין 96, ירוחם, Israel","Tsvi Bornstein St 96, Yeruham, Israel",yes,dist=71m name=1.00 close-proximity
1532,verified,0.95,1.000,59,פיצה פלא,פיצה פלא,yes,"אבן עזרא 23, אשדוד, Israel","Moshe Ibn Ezra St 23, Ashdod, 7762226, Israel",yes,dist=59m name=1.00 close-proximity
1533,no_match,0.2,1.000,1736,בי בי בי,BBB,no,"דרך הדרום 3, קריית גת, Israel",,no,dist=1736m name=1.00 no-match
1534,flagged,0.4,0.000,2868,cofix,קופיקס,no,"שד' ירושלים 17, נתיבות, Israel",,no,dist=2868m name=0.00 business=CLOSED_PERMANENTLY (non-operational)
1536,no_match,0.2,0.100,425,LUIGI קפה סיגל,Bialik 26,no,"ביאליק 5, באר שבע, Israel",,no,dist=425m name=0.10 no-match
1537,verified,0.88,1.000,250,מאפיית ארץ הצבי,מאפיית ארץ הצבי,yes,"בעלי המלאכה 17, צים סנטר נתיבות, Israel","Ba'alei ha-Melakha St 17, Netivot, Israel",yes,dist=250m name=1.00 near+name
1538,no_match,0.2,0.125,810,קפה קפה,Heihal HaTarbut,no,"הנשיא 82, אשקלון, Israel",,no,dist=810m name=0.13 no-match
1539,no_match,0.2,0.000,84976,בנדורה,Eli Cohen St 1,no,"אלי כהן 1, צומת שוקת, Israel",,no,dist=84976m name=0.00 no-match
1540,verified,0.88,0.500,103,פיצה עגבניה,Pizza Agvania,no,"חיל הנדסה 1, מרכז בי 7 באר שבע, Israel","מתחם ביג, חיל ההנדסה 1, באר שבע, Israel",yes,dist=103m name=0.50 near+name
1541,no_match,0.2,0.200,653,אלדו,Azrieli Mall Hayam,no,"דרך פעמי השלום 17, אילת, Israel",,no,dist=653m name=0.20 no-match
1542,flagged,0.6,0.000,29,cofix,Peretz Center Mall,no,"פרץ סנטר דימונה, Israel",,no,dist=29m name=0.00 proximity-name-mismatch
1543,verified,0.88,1.000,96,בית מאפה חושן ברכת הכוהנים,בית מאפה חושן,yes,"דוד ניב 26, באר שבע, Israel","David Niv St 26, Be'er Sheva, Israel",yes,dist=96m name=1.00 near+name
1544,no_match,0.2,0.500,1033,טולום ביץ',Tulum Beach / חוף טולום (מסעדה בשרית כשר),no,"דרך פעמי השלום 10, אילת, Israel",,no,dist=1033m name=0.50 no-match
1545,no_match,0.2,0.500,3593,פיצה ברכת השם,פיצה ברכה,no,"בלפור 22, אשדוד, Israel",,no,dist=3593m name=0.50 no-match
1546,no_match,0.2,0.000,255,מיקספורט,David Remez St 19,no,"רמז דוד 19, אשקלון, Israel",,no,dist=255m name=0.00 no-match
1547,verified,0.95,0.583,71,בוטיק הפיצה,"בוטיק הפיתה סניף רובע י""ג",no,"המלך דוד 20, אשדוד, Israel","David HaMelech St 20, Ashdod, Israel",yes,dist=71m name=0.58 close-proximity
1549,no_match,0.2,0.455,1529,שווארמה האחים,פלאפל ושווארמה הירוק השלום 48,no,"דרך השלום 48, באר שבע, Israel",,no,dist=1529m name=0.45 no-match
1550,no_match,0.2,0.538,679,אלוף הפלאפל והפול,הפלאפל של שרון,no,"הרצל 12, אשקלון, Israel",,no,dist=679m name=0.54 no-match
1551,flagged,0.4,1.000,1817,איזאקאיה,איזאקאיה,no,"הרצל 29, באר שבע, Israel",,no,dist=1817m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1552,verified,0.88,1.000,79,ניחוחות הטעם,קייטרינג ניחוחות הטעם,yes,"תלמי ביל""ו, Israel","Talmei Bilu, Israel",yes,dist=79m name=1.00 near+name
1553,flagged,0.7,1.000,528,שווראמה כחלון,שווארמה כחלון,no,"יוסף סמלו, נתיבות, Israel",,no,dist=528m name=1.00 needs-review
1554,flagged,0.7,0.444,147,התימני השווארמה והפלאפל,The Yemeni Shawarma and Tortilla,no,"גרשון שופמן 17, באר שבע, Israel",,no,dist=147m name=0.44 needs-review
1555,verified,0.95,1.000,24,בית העגל,מסעדת בית העגל בוואן פלזה ב״ש,yes,"שד' יצחק רגר 2, קניון הנגב, Israel","Yitshak Nafha St 25, Be'er Sheva, Israel",yes,dist=24m name=1.00 close-proximity
1556,flagged,0.7,0.000,146,פוקצ'ה,Fucaccia,no,"אנפה 1, אילת, Israel",,no,dist=146m name=0.00 needs-review
1557,no_match,0.2,1.000,1215,רוקפור,מסעדת רוקפור דימונה,no,"הפועלים 5, דימונה, Israel",,no,dist=1215m name=1.00 no-match
1558,flagged,0.7,0.800,1018,בליקר בייקרי,Bleecker Bakery,no,"שד' דוד טוביהו 125, באר שבע, Israel",,no,dist=1018m name=0.80 needs-review
1559,verified,0.88,1.000,128,פלאפל מיטל,פלאפל אסולין מיטל- סניף הרכבת,yes,"יצחק בן צבי 1, תחנה מרכזית באר שבע, Israel","Yitshak Ben Zvi St 1, Be'er Sheva, Israel",yes,dist=128m name=1.00 near+name
1560,flagged,0.7,1.000,770,בליקר בייקרי,בליקר בייקרי קריית גת,no,"דרך הדרום 20, קריית גת, Israel",,no,dist=770m name=1.00 needs-review
1562,verified,0.95,0.667,30,לוטי רול,Loti-Roll,no,"בני ישראל 6, אילת, Israel","Bnei Yisra'el St 6, Eilat, Israel",yes,dist=30m name=0.67 close-proximity
1563,flagged,0.7,1.000,645,פרנקו,פרנקו אשקלון - מסעדה חלבית,no,"הרצל 30, אשקלון, Israel",,no,dist=645m name=1.00 needs-review
1564,verified,0.88,0.571,181,פיצה בורו פארק,Pizza Borough Park,no,"שלמה בן יוסף 27, אשדוד, Israel","Shlomo Ben Yosef St 27, Ashdod, Israel",yes,dist=181m name=0.57 near+name
1565,flagged,0.7,0.636,759,שניצל דהן,שניצל בוארון,no,"הרצל 12, אשקלון, Israel",,no,dist=759m name=0.64 needs-review
1566,flagged,0.7,0.667,922,הולנד צ'יפס,Holland Chips,no,"רוגוזין 72, אשדוד, Israel",,no,dist=922m name=0.67 needs-review
1567,no_match,0.2,0.000,255,הפלנצ'ה,בגחלים,no,"שד' העצמאות 42, קריית גת, Israel",,no,dist=255m name=0.00 no-match
1568,flagged,0.6,0.231,25,אבא'לה,רינגלבלום 13 בר מסעדה כשר באר שבע,no,"רינגלבלום 10, באר שבע, Israel",,no,dist=25m name=0.23 proximity-name-mismatch
1569,flagged,0.4,1.000,997,אליזבת איטלקיה אמיתית,אליזבת איטלקיה אמיתית אשקלון,no,"התענך 2, אשקלון, Israel",,no,dist=997m name=1.00 business=CLOSED_TEMPORARILY (non-operational)
1570,flagged,0.7,1.000,672,אגדה מזרחית,מסעדת בשרים אגדה מזרחית,no,"שד' יגאל אלון 23, דימונה, Israel",,no,dist=672m name=1.00 needs-review
1571,flagged,0.7,1.000,338,הפינה החמה באר שבע,הפינה החמה,no,"קק""ל 2, באר שבע, Israel",,no,dist=338m name=1.00 needs-review
1572,flagged,0.7,0.333,219,מאק בורגר,גבטו- קרית גת,no,"שד' לכיש 33, קריית גת, Israel",,no,dist=219m name=0.33 needs-review
1573,no_match,0.2,0.500,1979,ארומה,Aroma,no,"הסתת 20, ביג אילת, Israel",,no,dist=1979m name=0.50 no-match
1574,no_match,0.2,0.429,27459,קפה עלית-אספרסו בר,Cafe Elite Stand,no,"סיני, נתיבות, Israel",,no,dist=27459m name=0.43 no-match
