id,name,google_name,status,cloudinary_url,cloudinary_public_id,width,height,bytes,format,elapsed_ms,google_photo_name,google_photo_attribution,error
7992,Moss Cafe,Moss Café,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440304/restaurants/google/restaurant_7992_google_800.jpg,restaurants/google/restaurant_7992_google_800,800,1067,240308,jpg,1477,places/ChIJj-Dtqb_zwokRYlU6uDe6ya4/photos/AaVGc3mYivNR2MaXfpBbQygGItcTzbxXz6mi-ANhxgR8ukdzSiSz8lDA1B3AxEcpxDOukk5uNtMS45m-vPR8MQnQQCjonjhXy_ZFwYEEj1ISl-6G-i6Mqz64AbsTPWI8CQKg5XhXFRmjh0J4-2kmv0uR65oK9MvNFsOvb2e0LmCgKxW-2DsOJ2kQcXAFWT97koB-p6WvUcZjz-esITnhA9jmlWHGgVqsKNni-8zlRMqyv-bSf-ItRNg2z4Cu7tOq1eKj_LMkqBDcGmEKzd-BCmwV-L4nSK5A-8bVavEtwb4B4a1-KWXbHScNC1P0opl6zhxtqP9J03Oz6NQpSkdTahnE3vSgfYpovDGp9rBpYYAC0H6x7VbCkSytsW3uxjyRvwLde1VqPAzcLlry1ugaSXVpk5EZGVtkB7x_qWuGnM_zw4ZUjBg1,Moss Café,
7993,Moti's,Moti's,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440306/restaurants/google/restaurant_7993_google_800.jpg,restaurants/google/restaurant_7993_google_800,800,1067,254464,jpg,1786,places/ChIJRxX1CClFwokRhxDzLH1JHTE/photos/AaVGc3ldyOlJQcExtWW-5b8FsaxLeeKkywtP7SwIbm-a7FAmglIEJ-q_s_vZ_4MjfVRypQzaJtSz1eljzEdkP4OuMcbmKf-G-BjIm3rgK3xZrw2i-T2Hf5arke3lJf-YLmqVWM_b6a5OQW9hvF84Pqrfw2BkwAydeJhAhUgy3Wwn9mV2ZYKEC5DeufNqXOnfHWq4YdnVfh2lXCwWGYGUaWfMP3rsZTZLz6grA2ipRWpgZD06xviwXTjFqKzRIfjvIx1YgxA981EsYmM6_ZuduFzNb8wsAXXHviRjib_vGYSZw-YKaJ00sP_od9XjjDodzFUck3JlrUqHmHLg81Qtgzfk0MpEzbb_Il2LnZjdSaF1bMNzzw_J_-9TP9JY9k2HfSj5o1LG3TW0EvXIC_rt_WgtQlt-6yjUghIQQWMliItRAj_RRn8T7mUuaW4K3uDSvpfc,Sruly Discovers,
7994,Mozzarella,Mozzarella Kosher,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440308/restaurants/google/restaurant_7994_google_800.jpg,restaurants/google/restaurant_7994_google_800,800,450,120636,jpg,1478,places/ChIJgUzPzehbwokRAkIhEIPwWDk/photos/AaVGc3kiokFlXqEuVYFWga9wXG-mJlKQzxVOnKCRilIX4gkO42TRYGeNSqyX0kENmIBKiCHbtFU-3TLdFy36RpFrI7E6e4oV0Aa5gNwF-szJ3uwCPoW84JzU0aV1-PJUjmPfRik5mPCXlHR-4ySePAqu7T7-Rjm6KYp8v9AwM2gaCHsc9KwhfqL0ds3gK2apFGleGE_7DTXbkr8Cx1UMTm5GqBCmawS3Eg475hJgbB0Bvd5DLS25Os8_Y4Ok6UFxlmvWJN6e4gwHWcAdSSNeRb8fzZPv3AnFsd0tpbB58_n3r_qEXPMiAXj_D9XWvjkcwX6RwAb2pOSXoO4sdN-MqM5gSSNXn8gvOzuy4CS1aXoWnNzpv-BJDwXN7yP8lPo6WLPGy7rH95syrvVBaBgphu5_J5ZLw0_U9uLwxdlsPYR8EHYg3A,Raulyn García502,
7996,Mr. Broadway Brooklyn,Mr Broadway Brooklyn,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440309/restaurants/google/restaurant_7996_google_800.jpg,restaurants/google/restaurant_7996_google_800,800,600,112253,jpg,1630,places/ChIJ5fQafQBFwokRMHo_ysRXy7g/photos/AaVGc3nWRerqTygC4bLB4D4d97xLRpFY2rTMDN8qzERN9tSk6XeKOmac1wtlmqBK2k2dsMRImUoWEyPB2bm5hR-ctKW4N9pGp7ySCvBt7dwAFo4AkrKZ25WeqRfu-YGZJRk2k8yanKE1G_mhtsHQmsCRbb2NrXMH--Kx-S7fmBaiRVnptyQRQ-0G2cBKr1C87CilJyybTttiIsMuf8OFATk3GQ59tUQQjlBTh8fyS16yYe2B8P6KwZabs888RwwVZmud84HcK6D5nzYPSy3rLfgvjk9dXK-GJq4ja75U05g0Lr0_dUejm7nWONwJEmdGCLjyoIF-abyDB8Zv6-tOdKvmqgC2-EODUoo1bP4PJ_kHzFmyT8Zw1tzIjetkSUncWRxlYMDtbYyZcq7gw9Rnm3EzAfAJxPevDpab3gefhTRG7ShPJ5dlgIMvCfdguW8mqszp,Chagai Bader,
7997,Mr. Nosh,Mr Nosh,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440311/restaurants/google/restaurant_7997_google_800.jpg,restaurants/google/restaurant_7997_google_800,800,600,178353,jpg,1701,places/ChIJZ-2phqZEwokRSNPRT_IwUpU/photos/AaVGc3klkNax8jFBv9WxCVW85_lTiAbUq9vdKRBOUywLfoj5VsG50Jp5CWtNGvzL1MjWnYdvEvPoY2sSWWcnZuGL-0HDfwob5MyziOWHScDtUpkBujYtxM32S2g7_LAZb6SHVhAWEs11KqGUp677xUTXIU_i93muKU2xt9ZTyKhg1VE1DB-fuBMsGB5THOo1tZWqQzl66v04ee9ufHAPaTv_TjwyQPILtY4leQVrI6w24-RrBP2fEE-HNqYn9K5xDH6wgHNQot-gScMs-3UelAzbt3qNPzaFeEub8ErMOmoruleyYiAENKD7ckm3c81ncnTuq5HEkT9MqPZSTShukmbJc-7PqzgQAkcdq7Q4a-uVEoKIBwWmSKC538QaqzhctaHULqG0i8vKz0eYIIQo6tYEttg0U4c_5fOW2VLvdsqO1gTg-NT3,Aron,
7998,Munch Heimish,Munch Heimish,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440313/restaurants/google/restaurant_7998_google_800.png,restaurants/google/restaurant_7998_google_800,800,732,882594,png,2407,places/ChIJV7WtJlpFwokR0QGiZigc4fA/photos/AaVGc3m0NXGvROFZGS-Y7WyriAUjwAS-3ReOTn2xd0xmpBBWT7cly06LJYEofqr8Wxbhrug7JGw66PUXM-GQEfDuydclpSMO1YJGj79msEDVoujC0rJGPBcmTffhQ1WxeI25ZFbZuOw605-6zIDZ4GwRJVluMgV6OdJGjzPIBqqoXBvNvHIUoMyC58HaX8J6KW058ngLuuK-aGqbQO1SIMmRP9N7TrQGonf6pts8t-V7KZauseBr4FqDIHRdnWnMNnig3hLgQxNWgtR7yxRamnsfl1AX8Lc9xLvacsZltQ39q0snoXekXV3kykn1Zp7s2RCIVXhLxAy-3ScYX1bbo5O9zYldYxcayMcmb8nAo-7W39L-YPkY3XxtPnQO9GM146ia3uixPpRWdPmnYre_CYbP10MieBJQ0nbU6ymXxzTfcOgvhXDgz78IWc4Utvats4fW,Munch Heimish,
7999,Munch Street Food,Munch Street Food,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440316/restaurants/google/restaurant_7999_google_800.png,restaurants/google/restaurant_7999_google_800,800,1050,1333437,png,2692,places/ChIJf82kWPFFwokRrtKFcvn5zqw/photos/AaVGc3lGOC9klsprcN6gCUFoQf3w0WQvQpFcYGrdueNvb3vyq46yrKPUdiaBmYUBpSlXVRNR8EMgY4jG1LvYPKVzDmZqrfm0avsLjrMK5EH9SFwNVueH-5zcvKXqvc7_imH6_33IBseZERb_Cs5nKJvjACocvZDkgyIFuo4OVASsQ-EI7VsZVMWWoFMOJJlzUw6q_QlD13xaK1QresLw-xADJ-ncxwRyPulwDBq4OVvSmIr7ypZZ1Qiv2l8kU7WH3vxt4Zdnu0fvRYumeMsX03h9ZMBxgLC_Bf8HIjaBTA-32ayLkQEVIQgAw1N3zq3oE5gBgH6XTMvfGVLBq765ZiEV1bmiAslBB5iCWlJtdfQBjFAKVGe-KDx9Akhg0pfI9aD41UeWCSPyHOPMwNjnRV-2JsKp-CaJABthpgeQK98xLS-2QVBX9ZICXzkJHLnbpQ,Munch Street Food,
8000,My Grill Bar,My Grill Bar,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440318/restaurants/google/restaurant_8000_google_800.jpg,restaurants/google/restaurant_8000_google_800,800,600,206316,jpg,1807,places/ChIJ2wZTmetEwokRM9SOdRm-aEw/photos/AaVGc3mXe3o7Ds2QNl45xd3KAi8EIc-78z6osvc1YgcFXk1mQPsVCzKzb1zrZUjWAZlx83cyBBgl_8y77WytkPBeckxl1Bijoymx_TwYdBOuq7Rj7uSKUVF57K6cgxLAII94iRYWKR4U1Cpc4rfbUDTs09--FNgdx2DkGK2GubDRj14LjRl1nl2YRus_a-2zAOBGl1kmi-sjpoI0Cv1O_z_GRaA6HrkOtyLljEwDGYJhfBYi_s2ml8WwZdC0FfM2q4orkzVOKjeoYfAl6OcgI3f9LeixQ_rUwQsHmwwsu4UrFKn4tj9FVLn6KtA8DI5Y_iBO-QFU1pZr8b-OTm3ALesjQEBurm1cRPRvwEaTlde7oabfsSc8ya-JFpMAPDVq_yc-GKUpzIBsPegL3K-bZWUsJzEAxnmLyPHcVCO7PhAHSw3tA0rwp0FSbQnapdAQWEbY,My Grill Bar,
8001,My Most Favorite Dessert,My Most Favorite Dessert,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440319/restaurants/google/restaurant_8001_google_800.jpg,restaurants/google/restaurant_8001_google_800,800,600,190215,jpg,1432,places/ChIJAZgA_GFYwokRh_u5O7--qd4/photos/AaVGc3l_kTzYF0omR6n_T9qRF0Y-QpLUnNWGKFIb4vQuPG0ANcoHjIi6ALq10vihUY5EGGlfHwH28BtdhrZlB74q2eKpDTQRNP8cmHkBCW7-fnn3af3bNU3-RQq6gHWMjLbgEWTlsO6gYs2zGQqIHwcef2Q1apoZcSHZKTVre250FRNZBCKb10UvyHzLHehP3HeLvpNtkSo52DC8j0zne5biOWr-I6h2Hn12NdL5GCis8G3VES-p_-pPEU4V0qLwx1zOFhRTYgCYQERQgAOvkt8jncIrdTaCo6eiYe54Mg3vUdTq-RpOx517k4jWVsn8ExUhOpui-3rv0TYTTJaYwiM8tNoz6MyLQYH9XP1NwtJw5dbOewEiPos0osnugqo31jKbzBT_ylIhwEkYqHy-Ze476HadQq0fFZU39SwmHI0FosCeqQ,Shaya B.,
8002,Naim Pizza,Naim Kosher Pizza,ok,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783440321/restaurants/google/restaurant_8002_google_800.jpg,restaurants/google/restaurant_8002_google_800,800,1067,320229,jpg,1739,places/ChIJLQ5xmipbwokRbnKvZfcml1Y/photos/AaVGc3md_8N0eMwo18LG_EU0K3lfqTvWQ2hd3eMMuNEd84UpWgJHsTfIv7tAiJx9tBmMmJHPQUNWB5GxdDcFQWJU46WnslDlcoELHA_OzqmiCRYBlGeajWuRa58ebG5onDXBrbBUNn-44OlDXyGfjPwOfiuyWT506Nn6jgsFrOjMAu8CoVn1ZK1uzTOqHQ9vgicxobtNB6f6zGW4Oe1fDU96gaqaQKetwrcTdnlwgnvrF9mJbcbT35EWaT-TI3wyy08J_J7o0zsA269lZfcwqeO3xcEUF7RdL3tXpUe0TO3AedkK4p8XG40oMHOuX49I0KO7GhTgtaoP9I2PxmhCBfS9IQZgdyAjPQYCwfQckKyTaLs13ojrD5VI4NqyeS6PtPZ0BUYF0h_B6ZrEWCeoktZy4ChfHl5S-y--aQmlpPWFy4KtRqJ2,dina n,
