id,name,google_name,google_photo_name
7388,Bozen Paris 19,Bozen Paris 19ème,places/ChIJnel9__5t5kcR70ZtfPpN5DM/photos/AaVGc3mxSPcYDI5agYlOzWFOLB3tgytkTBxsmRHj69KJNcCO6qcjnkmIys2lHOYn0J2iwlk54JlGbcuydYr_U-_MQMWMg8hgB87m_uyhM_VfoGI9Qlq30rKLU8dtkIldojZQXhiLfMHbqpQSYdaN1FsXVWawXNh0uiNnadxss57f4M77cEbsKy39T8Px_lf4qtBHUBTP24DTxtKEmlQP1uWHbdBSHUntAZ-QcO0v7g8J9MwIUY5KX5ZYcIzK1x1g3SZF5djHSwP8_uExg-bMdHticuq9U9IRwyuTahDjoFyxoCSmO3cFHEn2ipm_cX4APgcJ_xDbTOIir3kcmqSGRHajorvdUot7OhXZd8xZhky-eXvjCe3VAEwUtT9R5tn00cAOWQzhLfvGMXuYS1T7TD8YHqzwp8rpNkLcLz_w4PYoy8xeiQ
7389,Chez René et Gabin,CHEZ RENE ET GABIN,places/ChIJq6r-Ve9t5kcRXme9rlK-FF4/photos/AaVGc3mmr9XY5baDPHBbl76AcelxQQ7zC4fC5hQoJv1s0Tal_TtouvRZIsRKy8QNg2O-Y062nSl-8IuasKESFpxfnNfcT21IKcdKFmaMTD1oF7DXpWm05Tddb3V6KEW22RolpOn2WT967GXgeKDOLm6kmEqrMyF7L6o8-lf0SnlK9cusXqQKTqrHHpFTboEn2wouV3u0s2dkkTKC9SXDbKX-1Wc3Jy6nX0BTn7kdA5FQYjmPtFkvpQQThnypLFpHZZQgz0IimuJuLQ8YaCSY2Ptw_bpIcHCRzGt0Ux7joYSLi4TF1qYsY1tHttDiLI_Dke8q-rPpiqfstnBZEfbkSsHqM0AjMdoj-myGpTrlahJRAbD7wNzFbh-mhvoFJkEvpYkw_D1EYBjtkd-NzWL6iX0aCT25fGWZoerJ7hXyaoZxoMU
7390,Vicky by Paco,Vicky,places/ChIJxz8FNZRv5kcRbIy-0MwZKbI/photos/AaVGc3nZNL-KfqMMPGGbEwOQNOhvpI2qVOsutCpMTEpMkq43sv3QP2fsZQcsGLCk9RgDgn9nNwcdBragn6p-B78s-IzgzuqwEU0i5lQjGm9EoagByMyRqfZot7T_1wgYl9ouYoeMRA3qs6Aq8Nh3Nt-QHtHH8LU0o7UHIDkImZu2p3lktGZCi7ArngoDOm3ipiKXBlPsTwD4hiqUHo-rpZrT5sZl5_zI9AKf0ObWIiWhquE8HkZl8JCk9aOQJq4rMNA1SMymY8AI2Y8eiIpAE6siXg4XUhyzalwy5EoNh9O640x-mc5Cy-1fRXSjhfei0PRiE7DD8XKJHj0h2pPilkUmmMgjHdVlHEhpFpui5_uX51fWKNhnwUkt82Gu53GkNFoVXcSzzukqXFi8HD4NyDpTc3SWvsfnTRFtWZZmHBVWvk3A4g
7391,La Fille du Boucher,La Fille du Boucher,places/ChIJS35iDb5v5kcRkV1tztoitDc/photos/AaVGc3lsZ9E9hjp5KIu-cZtQW4ZcDKLTc04B1p0xTfRyKnJmhZN-UBnl6THUhtz2hnbPCMA_C7PXduaBBF1BMBdqsdyz18-gowFRSZgXDb7G5JT9-RTrqyG1vcsBuVchPyPRteLQCtFWh9Uh6i4l7D_FrGQOR7MvDXuWhZrigHZUjHDlq1l1_JrqNx3EHkWuRYx_PUH4f6E022z9aGWlVQmgHqiNk-mhbnIXWBfSw0GBgn_bgu_S39oB_hwJsKnkDA9ROQRaF3IHlGc9GMGoLvdLkoNH_z6IBltkognBD9fFMiOrgG_t9oYB_IpyjKk0KXF17XkDCgLSbmLQDkE-nOkoY_QVCNDUrzqQ23HqcKXeOydl231kfwrTXJDgg81PrJtLsoibp1uS5l9Cc_O_RBgYYNnQfjgQyjRLxMWVmRjYl614mQ
7392,Kahn Famous Deli Paris,Kahn Famous Deli,places/ChIJfeKg-JZv5kcRpcvikFh2MCk/photos/AaVGc3kes5USuS6VGjDgQgTc_dbPjanJTHvJ0EvBPSZ8rxjnEN30C1IOgJ2n5wZTrD-2d7G8N3ZgAVm-MIYGkjJUFy_DTVHa6JmA38gSNQXbAdV6u6w-L33V8x7nFCv529FsWzsMxeNstjwTF1PQ_pAIWovGvz0lvV4HM__WIMmX50fSk1zc_4SWKijOzdT2Iz_YZAuYvXcgGvyhyjxOL0iaY0lYV8AI02yNplpoiSs-srCCwsIqJuneDQGOP6JTi9AGgh-RbfJWaZ8NFiTeNnUbVfFoCnDs6qk57BXZF-EnTKUDFwikSmSJrNHj-ACoc5GfbZgvRlFOxDOq-9cJ96HBC8L-oJtqoYPccJ90Wdz2c_iI4pnjGTqRqmvfEoGHmetvToV8aGk1FGdUxsjOn-iSF8UntOXTVUBtidZ8KDVA4Eo
7393,Iossa,IOSSA,places/ChIJ07bzpZVv5kcR-fKeB77Wtcg/photos/AaVGc3kPiU2Td76QMOzinfW7wn6SWgZ7UbzH3dIvPlP16yW_QJoDluluzJQaL9J2byV5KJdwWPc32PH2Ip9jF_uW-zihneUgqpaeaFirYeWmQkGYysIbj0_OheV1T-VS_Kpg6kW1HFgXzgo3G-GKidXty0cmXNg6teP7GCyP1adS3HIBcocNSa91JUUkxFBsQGvxQ_0MWZL8xeV1nJuVyMd7QT212-h185sxi04nrQtMx0-K2cGimbcmk6L-WgR25UhiJ2-rIa8u8N3kDBIPhhvP6H8-7-_SXIH6ixMA7Rs4PhxuBL3YgivvmsrdjSrf64mIEuz7tzlutkb0MaA0rxNiZ9oeLd-G2RA_fgdifJKuD90JDoKJZB3XTFruaHwAtSkj8uziU-jNpTbTOCgFhDAq0Mdq85D2BKizEWqkTKCdDEksyQ
7394,Le Leviathan,Restaurant Le Leviathan,places/ChIJowDW8qfazRIR54oLmfeh4Bc/photos/AaVGc3nNn_t1_rMLzSi313JhyqIdoNTCI2Z6tYocjfT3AUHFk-iBIGyoild5vACcc8MjRbyP6rSaF3p_2XVvNxroeeK0jexR1K53ROVLpv5AWeb4_uJn3jPI3joU9lYFGyGlkOtQXnxz5YnPD_1z5AjX_kd6Tb18bB7Kh3goL4GQJ2c86cU_gt59n0wLI53MJ2Rj7LRyjpnJics8LcmzkGcKwGj9HxEfLv-FOxAL1S6M7EbBZrw5hH00bKhZatoLm-n-KKNaGMYWY4DIHTy7Byp5ub0RFFNuyspABx88xZ_8Aw3NGXM4ZLTCsz1KnjRHZes7ZJ31nZ_sy9Rm3c1srDZddYqCarI5dBAuukQ3XGMmiwTTSksz9UGpXCauFwh9-ZX0bEVjFwobpNX41YB-DLY0TWAM_UwokGcEK9vPfjZxMAW-_w
7395,Falafel Sahara,Falafel Sahara - Restaurant cacher Nice,places/ChIJXSYqBLrazRIRxqLyM32fz4U/photos/AaVGc3kKxyV1pG7FfoEdQ7AWS7f289cRwrRzIAy993-PtnYkVIPSbzq0ALXRqEk7MPteCpLwskxPCTdb49VnrkvC388muk_kCYdG0H2SMv73jHF1iqbVqzOfvSuj798EdOvjWkD6tLPIGtYXoS93w2iAEiULoRYGnx3l7owmwkYhIGFHGy-7gJRor3f5nir6gP0t5-YxOQglZf3B_1yMcJCgkde8HJ6fLcPCPa9Bd2Ze3CVflhoBtxShAUaTEfVJUR5mEY5hPDrPkk31mtYT01N9rTRZ9-SBy8k9-I6Fm4yQHbxLyiP3pDaoVCDwd7fidcp4IFlBkKgVxhwNTxg5lCac4gER-LEE_HJsGrOUj23hOz6ik-ce1qP2vwj5sSr9SvhOkDreHP3wstcaHpuQ_VUgrfQTdYgELPxgmsBAG-1OpVlOkCuLUgwwgJNkWTjzIQ
7396,Bistro K,Bistro K. restaurant kosher,places/ChIJY5EdX1DPzRIRBwHeqMv1334/photos/AaVGc3kjqKfCpbDkB9HpUOn5G9zgbIjmTxjf_kxLUY6qxJIN4AY0jYpi9hh86CyKxqiqSPNvCFe8T9HCiptDehT0V6doQxjvQCUuVavX3Apsi2X9aAxIF3GRQVRmgGuj30WpEqJ0vWbwk4SofeoyFdqfo6Uo59WW4_Pkh6AL_wl27R__SPTAy9vy4pqAr84PELqTN3iRqo6pbivL2gMPV9_DkDh9QwucWKkGmUdj_hh20Eylfcagjxj5k0yUuNMfsXKfcVee5nkWg6YrJv-ss1bpTe2ilcauq7OJ6a2fH9a_dcLWjRve6bgFD8RWNfp7lHZIijCb6UtcvR3xhw3F8fiqlneYy7Lb1AXJ655FjmkTmMOXq3-drGywcKKFMcNRpzCJxnttd20o5r1flKRv611t32-qqdOAGBUL-P0Of04H-6mvOXBL
7398,Tutti Food Nice,TUTTI FOOD NICE,places/ChIJ04qP-gLRzRIRN__Eet9DKM8/photos/AaVGc3k5UBq3M1xf9nsNMa5O61sXsuZ018p1YbS7cRFl95JkIPjYUPmxXUcGNzz4dUGAvB9aQfMj3x_4cR_OsfttzXxKqsUNSb9xzJgkKBXuF93qZ0lPcr65X7R-ETsPSaK032SZoN92JzbkcYQyy5Ui9Xa4DCHNdjdfZ4nyHnjhVnOrlV8fb8U3VKXVN5xmnIsffhBFkX1AAEegE1ozv9ILq31H6UcDWYqKdEtH-cf0EKJ3f4PG2jvnkoh7BlsxoMjC3Dg_hj90JcXEbP-XdEZDEKC0DOrsJC0ovLPzvdMROSw-ndkhTXaGggwqwdwBWFhxkYCUpEQKxrwbjUGUu7Bzt-yCFfje0oZ8d_V150pJHl49AzKVwDZzMDkwJjYooT0wi9RPQdTFwzni_hPKWsorP2D3f0jb9YQoamanPXW9wSj9Evk
