id,old_name,old_address,google_name,google_address,google_place_id,google_rating,google_phone,google_photo_name
1940,הפסאז',"ככר הנשיא 11, שדרות, Israel",הפסאז' - מסעדת המבורגר,"הנשיא 11, שדרות, 8712811, Israel",ChIJFTyBBVSBAhURAHbzujiILbc,4.6,08-681-9191,places/ChIJFTyBBVSBAhURAHbzujiILbc/photos/AaVGc3lhREFjxdRoOdr3Ke2OWqWpvzVqdYFJZsw4l1cXnHUG4cD2hVl2YsrjA_rn7sEakwsqt8d0c5JkZCR3GNpBq8P9FMMZUGvw_ZHtss9KjDFjfGDTRPEIgQ5GO7kZ4AldHEMNB0g8RcmjSqHwx9AAV3E_54VvrMa1bUgX2z8xMh-8hr0kwemSE3VWCFMOvffvdjXlUU7D4UifJ6JgcbjxHos0zoo6Yz4m3KWaBZWmCdHx9-rB8GV3k9JdZ10CMhZvydqOrMhGbWw6DEaVlIP94XThKKx4iI8sP81BxMQ7AW1ndCTJzmvzdGyS5lNRFXNIgQ7dDBnSJeIGDg9rtgrpGxva8mbvZnzPPwv0VSl29C_z_WR33EGmlkGYEpSwCG7HqFR9v6zdI_dXHR5j3lZ8vhXAdw-SaepBxXic-B6vhexTwI5lM8ZnjwcH9IDKAL0p
1944,מפגש ארבל,"צה""ל 13, אשקלון, Israel",Arbel meeting,"Tsahal St 13, Ashkelon, Israel",ChIJ8UPj83acAhURAm9bR9xVCjg,4.7,08-675-1705,places/ChIJ8UPj83acAhURAm9bR9xVCjg/photos/AaVGc3kWm3f0pvolAksFmctoM50oGCXs05jsJh2lg4JUIwSNEyMZ7ajLr1ICoH5bFBrxgpkEjIKL1XKRHHncI_AY-p-Rf6-40owuZN3Jb8Goi9JaZSgqT3s0eh7IaI2e1fuig9ciZCjEUpBhhaW6SRmC4ACmSY-YBTmVcFL332NM2YFSQJNjtoV50h-mgH148hJfVK-Z-tfNCeZSb3KThXS1sOU653vn5kLt6ZUgvJ6HCeNBWFpMM0ZHt4hvvnF0g8h8T2QGmN1-ou-v-vcfmDXE_Paz0W-pjKHun6NlMkIlpkm4Pjfp5t4DT8UJSsjW-wA0NR54-2y_ct0pnCw-3mycein7-Pq9qgZODDBYFgJoWDD5tyRSTOsLq5WTI2Kqj9jcM8RCjNNxzSDnO64tsXv59dtyXgXktJWp85SThtCfxLEdAwNF
1946,Coffee Cake,"קרן היסוד 4, קניון קרית הממשלה, באר שבע, Israel",Coffee Cake,"Keren ha-Yesod St 4, Be'er Sheva, Israel",ChIJO8YrlEBmAhURvoa9vmiPfDk,4.1,08-627-3563,places/ChIJO8YrlEBmAhURvoa9vmiPfDk/photos/AaVGc3kWsnFKa8qmxig_3LarR4-dXhKDCxM6f-mZvDVWCIwxPty_AUy-BosR3rPqWbvPGl4iBIp5T3FiNVi13b948gBzO0YQfxmtkHO3ztTcPl4ngBCZ84UpgAkGKBq9yxDPwpqFzXlIwX-t25tB2fXOqwEXm23Z3OnlH6G-_LxCcUUxCmoDX_Bs73ALd_mTmOkj6RK6xDSYlDQ_a72d_mkTofWmpEVTanu6diDOSUatiT0pK-1NA_ufyW0Hu00tXgLQokNt4BGdOXalQ0uLJxeRJOt8AuZB_9GpaZzX71x-1MQvVOC-P37j8iZ4FgI2IP7hdOs-vJrhOyyLRv7q3kcQaGrtOm958pLY-aKWktYdUnP3ouBFGWRpmNncB47WV-Um-wq83RPBrzoa8pV9vx2u2CkNMa6JPN2TWhG74PwXcpRB2w
1948,פיצה כמעט חינם,"שד' יוהנה ז'בוטינסקי 15, באר שבע, Israel",Pizza Kimat Hinam,"Sderot Johana Jabotinsky 15, Beersheba, Israel",ChIJ30RAC_5lAhURq-vH1CN8X9Q,4.1,08-864-2366,places/ChIJ30RAC_5lAhURq-vH1CN8X9Q/photos/AaVGc3m-FZT63vi4s2PjcL8HC6RXSQWE9RB3GcFCy55zvmQH2PrpfAtWmdrKDxuVuLwBYufpGDGgOCCcxQJ2KJSgpBFDN_JWaHxewTTt8-Wjlv6mOPhjOzN4munFyH4fjvL7kj2F8W_gYAy7guT3f2I0hL3v1dok6EreiAOW1Fr_Vps4cdbOCaaAOGr_7wytRohanKxroQvgY1RgeB2URBExaa-dDvK_nGsPM9gTJTBJFsdn97bq9v3kCcM8SthVxyNWdfpvxrzUZHcGp7YvciolBOcCvQQ0cYuuqgfKO-dXfgNE15_clxZF7VoQphofNlkNLihAGMTOlBQI5eZXUcjy_FfhJ2oy8F_0uGkq9odpEhBBrRY2SCAp-yu-wjuk9SPwlSGuA9XwN1Z0NdYy-Nxcn863q6lSRMQs3dLXXRjUEj2vqw
1949,לאב בר מיוזיק,"ברל כצנלסון 7, אשקלון, Israel",לאב-בר מיוזיק,"Berl Katsnelson St 7, Ashkelon, Israel",ChIJjXHhDnCcAhURXGjXCZ5m9JQ,3.8,050-522-0606,places/ChIJjXHhDnCcAhURXGjXCZ5m9JQ/photos/AaVGc3mn8pvMy1UajFlcWcBzwRChWrjdCQ_LlwpIWzRZZOw-Bzfs3ToE8WN5oipT0xoryg7RwOZNnZB9ea_VLnaGff1eEFsYlwMyEoS0to9dUrscAxnhzLShlkia9ptNu4HFCT_978sEKpBzGsO8J8klv7djU09AfXsgR1HGZDS4wpNoQo5SJKZ_OhP9yvbVoJ2ake1nRkItymvF4y5OSKkTA8LfAFGAZIs4XHB_Y6_OmaUUO2yve-y5OygCiDq_xJuTiM3Y-MKszctBDOetjhlsmZsqN7ZSp0gyleTDWbmhR2LgwMNXkPHQO3oxlLZwrHBx7zJm--nj5GWwjveKuB9cdFR9MOfB-4CLAKIh-q8W9nUDN2MQfzrfbdr79nWV8dEzR3-9hTf5bn-NtCjNlYA8yZcvu_hW6V6YIoLHiEZR7UP0PQ
1950,אמריקן פיצה,"שבט לוי 16, אשדוד, Israel",American Pizza,"1 מתחם מג'יק, שבט לוי 16, אשדוד, Israel",ChIJ8Uoi_16iAhURT1yxNn31RtM,4.1,08-866-6553,places/ChIJ8Uoi_16iAhURT1yxNn31RtM/photos/AaVGc3nAamOGhLwzyhamFaz9Qpz9qMCqPDfglSTp4Fti8dNGduNtb_YT4l1CAnhKDGE-hnC3eSlyCX-pkgRsg9oO9dSDRF9oJRjRjBK81j2U7HPA2HZDsigNPRBwM2TfnKLwwH3OEofitX3Y2ALMvBhDamtKH7H0OHWlyCk0RXWVjAR9VEpl1Hlz3yGkc4JKiNLJeMqgAvM-zxlq92q3QNwD0keivQvtovZXDDoQlW-y2mEyW3-h0kFuyIfnDicSwLXBPVegfHzsg9VQ6NLfOiWhUFGiGzUL_DAVZ7lLBQrkcmEWX6zIfjO7yCoG7IHwHg1zBIHgNxOSjaLAArbBt9ZCKhXy0A18LBileQ0KnIZ6tLionK6G0xwm-JrCtXHaZszdLl9_XMT2Jo7_SQE0MZdkT0EySast1D2Hl0wcC1o2ALa97w
1952,פיצה כמעט חינם,"הגפן 5, קניון גת סנטר, קריית גת, Israel",פיצה כמעט חינם קרית גת,"HaGefen St 5, Kiryat Gat, Israel",ChIJo5fBDmORAhURrlW5yt7koDQ,4,08-939-8822,places/ChIJo5fBDmORAhURrlW5yt7koDQ/photos/AaVGc3ldQj3GHhanzUKlrk9MYN-BWugg0ViIU0tUGzMIu6WAo6z1yXe9ltQfsi7vLxuASOzX4Dl5sGT-tU6sDCuOLl0B00TgZQmsp2p0B-IUhzMk-bsZSqsLdrvhJ4I7hJduIc_GrRREePgEhG4Q08ASCnRJE4v9TljPCNiwE0vqTgXkAt0OetL9MNsN0YpGQilePfzZvf_mnQK37T14EDPwK8pmHfOa4awyGcDmHfG8W_iHew3pFZ_BSCsjLrhJvziQ9aB8I3mhkGyJxw0YNE0zmvDAaBtTTftuY3bkK5MMajj4Ie3EOOzKa2JopTDC_bzvG7rvWIxM846NN4UFkj-pRJknoL2etSmg2pnd8IOK3KB7855nsRboR8ITk2BmE9NFOfCQOG_GEjAVMou8o7FG1KdaTH3sqsxtfdujR140e42WNw
1954,שניצליה,"מדיין 14, אילת, Israel",שניצליה,"מרכז הוכמן, מדיין 12, אילת, 88000, Israel",ChIJFeUtSgJuABURE9hbEPRqzdE,4.5,08-634-4474,places/ChIJFeUtSgJuABURE9hbEPRqzdE/photos/AaVGc3lfgeaIIHhbOSjBvNMbbdBIdzi3CSmN_xR24je3rkPjQTfOK_GkfjLBX9TT6tTSIGzR0gCVGh7lNp6EV8Ff-JDixBe5f2t5fOX_c0InH1t2WmZFIE0wdSWW1nMnyXNy7iNd8WGRJlzdFegMUuQ3QwUeX6t1HUDN5zFjAfj0rJ5KdKELVubpJ47Fn_851tqr2qF9lX7x3aYfE9qGFNdAg0aAzXEoaYQ3U9qoxlnrSkcybjdJZdPnWx6QOpmZZgUOLMhZQ7QzK16byZj1tLLUBCPbbL1J16_UJNTv3k6RN3rpC3JYRy1LLdICem6uAMeKOcLl3eScA_ZqgLQtBAvh0oxnLwpcCsJfaAFQOLrduMNB1DtgTzbOp1HKtjx63P4jfnwXObyO2xISkFLlcp-XL4BKrjFnRsLnGtDQiSYN1P1paX5d
1957,האיטלקיה,"שד' לכיש 37, קריית גת, Israel",האיטלקיה,"Sderot Lachish 37, Kiryat Gat, Israel",ChIJR3HXCWGRAhUR25HzTO_lbsU,4.2,08-665-5471,places/ChIJR3HXCWGRAhUR25HzTO_lbsU/photos/AaVGc3kRq9w3iJi41HBX9gSKbUxB-04Iw84AHmUEaIjq0gTiE75Zh0aCrYu8MtN2PiRu0kihzKEyj1vmaEU_IgqKyqkz9AJuA12XQnnygUoSKnK0zZbOCUYaLDD5Vlvq0__k9E9apvKrHfjXeMzNHoojHhVEFvhvOJw6iN_Ecdw2MCBHUKwlp8I7nr9oI9ZlmTHcLRcCfpFJBQddbfw6woXlH1FlO4L_Qeiu0uqwJ-Vc-nGYkXj6kjfoOmSeB6FjafLrhejYb-yeeCFItMCDWHXOYna3lQeh7DlSVpllgpr-Ju4WvHmuOms-iNT7RCKcjg6zmMSJfyVUPyZ4FvdaN7vV4ShTkZGIqztKnaTMPXPwCcAJN6mJY6bKGHJVeaIYEME0vGUVH97i2yn4Fe3AXHZ-fGFSeE_--n26Lae_QEoz3j9eNQ
1959,סושי מושי,"קאמפן 9, אילת, Israel",Sushi Mushi,"Kampen St 8, Eilat, Israel",ChIJvwxli-NxABURDfpGEwNTutA,3.5,08-652-2255,places/ChIJvwxli-NxABURDfpGEwNTutA/photos/AaVGc3k24wLPRDJ4OYzrRFgYNx79i_TngesTiddqOoDIEKYwbVQ0WGrJ2MIE1CErL_CG1wumiU9sLSvZU4pd9p_JUIibbwp2gEhJR7b_NR3it1pPI9bgpyYaolBC_BOc7-JkljYVen0BOJ3EgqoZ0G_6zPk5shSzN-KbMTJmBnNQlaVONY9R6kkn3dD92RQGY-ecamcZQlfuKO7j8O7QvjjYJ1ZdwSMfK0AMkp9rhTIbRGYVjXMykzceuMmjGQ3Kdgs-S_bdvERz375jMKyzK_NcrNcXCNMxwORFvOg2_DabwE8I0khqvtBiSb6-KXy4tIxyKh23a05lrU9FKzdW-jP6GjDrYcnZAO0USbak_xQfYme3MMRevdeOsseXW6TubPq6GKb4lNaU2tUwyLQJS4TX4aWbZwY7msvVzn2KTTnICnU
