id,name,action,reason,old_photo_url,old_photo_source,new_photo_url,new_photo_source,new_photo_attribution,google_photo_name
6376,UN Plaza Grill,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418474/restaurants/google/restaurant_6376_google_800.jpg,google,Avrumy A,places/ChIJ28krc-JYwokRNS2ftByq19I/photos/AaVGc3nQxvsbdAFzD69pkERFS9WdyHx5FMCMS4mjY3PHR1fEnSvlJddOsyl-Ia4TUKBUz6iV6pHpFRUK--2sGhcwfFxrNkSF8mDEPrOuNqaZcNuN4YxtjGTdnPsMb88d5IwSP9bctXsZPqNp4Zqh8KKF74c-7PxxZOs1EhEVTdT9Bl-YsHF7IBre_vtyttbru1DOy_SuqH3xQ_ox9sRzXwpTQrdMPinvtOyCgqY07wSJLKxyPCqpi1_jfUyqVG6WsoeXAX0U0Ke9MkTvrOG8BLmji6sSAEpyYaTjaq3mPDgcOYb4SQmtYGfg-8We6_Exp9Q9WUnqWinAcMKlUnTS_wuOlMX-Hq03nGqKqt8GAq2IF5ZvCTkJ8RLIEWXHTb3cIgSWMKXh7IGmH3o2H448sHAwW46_WrjPwwHt4u_w67Agi3kmiB8
6377,מסעדת זאב וכבש  Wolf & Lamb Steakhouse,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418476/restaurants/google/restaurant_6377_google_800.jpg,google,Wolf & Lamb Steakhouse,places/ChIJPya9gP5YwokRBiSdQz1WZTQ/photos/AaVGc3nn35Xkxdl-ze2UFerGYXMlSGDZ0QdHGCdHHQLdH2Mqd89xLapFibw_ebcoc7Cxw1OFHUNUI1cpeMbOqF3fMmedC7MzK6mCfajr5dB-vgd507-hWytxiQKQE3Fu1v2Mpkwt81J-hlt8bhH2zqiYvER-dSAvmygDKonmRxt9kwQCXbZPL_F6vaLPAUX9LK80q8mcq_4o9PaeG9EetzfkUIPuIydjwmmRt2jGfdh1seeRUyUdbNswzdBc_xkxcaf4hXuChKd1xMEPBCRRioDxYBs0fao_mTc30C0u37gcbhcATHzUqtIQL359ZRrxi2F01kdPfy6mPCAf3itZ09dV0pvraF2vO3irs8JVF-2AhF1IhtFH_qo4zlibuFTHlD2nvhsbgxg_Y-V8FVQL2KgXymr5x42-DX2h1cNNmgBxU7pA3qnH
6379,Kasbah Grill,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418478/restaurants/google/restaurant_6379_google_800.jpg,google,Moe Friedman,places/ChIJz6FFoYZYwokRt03EmEnqlhQ/photos/AaVGc3lJnLLM6YF91zko2v1HehV7zvCT-EIym_g1cBVSuD-wVARQdXFGR8ZtEevYgCHMHQxyo2rAesYxSyMaHHsPmTmCrvSdCy3kdeMFWPN9Lx6tAGoZhXKMkeP4H7dFK0OdAe50qNFkMY89v6nFWYQ6hHh2FyUa_XyJDHZ9YH8NMwbPlfq3EjWxCoYuRJe0k2D-5LPdfAACZ4IQJFLZdcKe3eX8HR-NSZw1ifLfEB3MfyE6vKQZdo-nxPuQStBEOc4QEkKiq526B9Ln32LQb_i6gw_Jb4UIofVjYmf11-K96Cy6tNeIK4RdUNfvpFWdevsVGVtwowinIpU7x97O52sky9-x7JLyqsnrTxk8iST7pdps_Kk65L99Z2gEPMZ6-ydkX6v1tpBwdzWRKJooee1RReRKW4KptdBWFjxNSDU
6380,Talia's Steakhouse and Bar,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418481/restaurants/google/restaurant_6380_google_800.jpg,google,Talia's Steakhouse and Bar,places/ChIJFd2ct4JYwokRhL3SHtbKvOc/photos/AaVGc3lWlaoZxmtdMfhBkpw1B6dhZ6kQmEncd3EIUtPwnsShdqfzh4rC4c07ruDq1pZQV9HYceAm2WCJKDszp7Kqf55kG6NKMx0JhTYE33VK5NWkZZw7lbBA4y5UDPHAXVAf4FFDnLsFr6xbxi2k81g7Awsq_DCN8GCSSv1vc555yoPN0kVZKeGFN6LHPKtL0T1b5Bp7L07J1AJJP4OFAKCVS5OY6y3G83wTjaTeSY_BAN7UJWQWBwNMQle9tZVDHUJ4CAI3oaACGTB6GeUVVvj2BxslplFsxQInu9YHs2uPPI61h_mpPoc5dMtjw__D6SDLfB-4xOHe3V0PisLfyjaiqsUkZ5es6y5lvM262vjv5BTfFnH1oj1l1KQuHLUCo0Zy2aUNemYyLDP2DyrF28qqRMUmfs4cJWMmV8w4xnPWkEE
6381,Eighteen,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418482/restaurants/google/restaurant_6381_google_800.jpg,google,Eighteen,places/ChIJbQYrur5YwokRGrkyjinbNQc/photos/AaVGc3nXyZm4x6PYh-FnAh1cI-KhMzaQcmVa_EwquZOBnGC22r5xKa5uB_z00AzNs5QIvvX9QEH2sMmaL5SnD9vYjjlkr5QKWt02a4QLkM3ObriPCfkmhAeRP6itBPPlTrfDySLGPPXinnRjT7ycvQhAl6SBIl9pMmfUei9-bxGT3ikCmLfJDCHDOOQHZicOC0Fd61v8UBajt4k-nLValTT46eqnleHAmg-ljUWagup8-2UHIsVNRH3LqKxtMYb4oUa6p-cTcljBfiE1CHpCuspKlpLqomDh7cqESic49W2ux9IWUoRNL6FsK0nEdCsFTObkQAOBJqOqr03CTgM7AVLfhLAaU7rURqCnALxxAAC66iX-7j8F9Y01OOz81-gswN1hwf3tVlUfNElytQybTiMVMESVYgC61RHcaXeWdzO_X4F7Zg
6382,מיסטר ברודווי  Mr. Broadway,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418484/restaurants/google/restaurant_6382_google_800.jpg,google,Mr. Broadway,places/ChIJo1t6uatZwokRfS-8XExxTTY/photos/AaVGc3lsrI0BZAp_a9c8RCUssTNZUU1ocbbMfpe341am9wwiHSxhT7qHIBTU73B3BcoCDAbkG8oVDO83Y2zNAeegVCtowUOUqf17o8hDC9Bg6zSPD1hzB1JgBSMRH2uqQg43LUjNLw0I9DKpXBoTUDPGODHxd_dxJt4QD12sjTWsqLnV0JnoLAnFugHLgIViTiCJw8A4GcMoJiRhcJcvmlmnOnsqWA4mh2dGPpREsgIlg7SwRwud8DWVeXSb6F0PraH89jkUDM_lsZcnPC6EUkDlaEXqqERnroZMn2vwr6yQz8FVerxOMVPFIzRlb-Gy7hNkQBrQOOP_WSx-yZ0ZS1C72tXJ31vHfocegbYgANV7Hh79-WU7xxjQd18QS7td4qxWH97E0pi8pqaOG4Iq3NMogpNOO-ep3NDZ4NFsvIU_isUJH3IQb1AdJ9vxe-wBIipS
6383,Mocha Burger LUX - Times Square,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418489/restaurants/google/restaurant_6383_google_800.png,google,Mocha Burger - Times Square,places/ChIJD-T9sFtZwokRzkOxx2683IQ/photos/AaVGc3m8Od0l9LG5cw4ogrP-prfGWqwXaLxyTsJeq9HTkS8832wRjrAaOWpHQu7dfeE2gRe5BsgA7h6nk5KHvojjY-Rh9MrqKkiXNN9la7QUoEG4t01Zgie06EgzMOoUBMe9pIVKF8Fu0C1FKzIAgTxfPMXNYbEAuPdCdh_3XmKL1ASc96El8ZfifD7Sednm4wXfXBqGGVwGz0z1MwDi6YDBPKQfxlR53-ZlNeLKI5nkp6LNk270jkid6tRQTftJs1Z-sZhVsSJrag4EbuAjcNcPIO7LoGR60ZhnyhPFCiN7cNtptnbxgE8mFoMbjehTpIiYh1DTvdo_9hvAH7-S3BOF0V8RNjN76MjEWeewikIopFrjocJbfPQ0ynRBvUJ3Gu5x7TwgoFikbRjKcx9Bxy7Xm-wLhsrhNBjeRxr6PgH3R19cLKHXAvlrubs4s_QltE_L
6384,מוקהבורגר  Mocha Burger,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418492/restaurants/google/restaurant_6384_google_800.jpg,google,Mocha Burger,places/ChIJRYidG45ZwokRhvi3p0yHzKg/photos/AaVGc3kxfqFpHIcCdQF2xLbZ9arvc7m5QCTCjJleeDDR8D8aZPe6YV-Ns0xu8R-0KRaVlThmOxZIaOpVCL9865OgkBcowCBBP3O64JfJS2ioXIYnyVTkKq4yeGQeiRiRywTLdUrJJjcg5uG32lz26N1K4RaWuC8nb_mKJs7MvU4047O3QiRzPB9RlFy5MBluQRj9zAJfKuYm5jUDby9qMC0dxQvd2ss2nzK05HTgYG4sq2XtT4ngx6zQV6N0Z5ZJKZQ1tCtcHnKyCaxonjP5GISwwL8ZpLZmzxOdYElp_6EKRjnOBGDh5Mtv-fT21rtXe1-9TfBpOSS4UEi1cUtID9YhRrUlpDKAuFbj6jqzHk828BPDYPY_GRWAsBW0wL-NIwg4SaWBFlkBYTXAKzxTV5P27keApUrNDWer-UhsGKNJMM0W896kjUxzRovLdt7gRA
6385,Izzy’s Smokehouse,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418494/restaurants/google/restaurant_6385_google_800.jpg,google,Shaya B.,places/ChIJca_SEv1ZwokRp1EjOFEBLe8/photos/AaVGc3kv46U929j58mDkmKJhDkX5aeDn7TgsU3qZkJD43-lQt6nRgAFSF9WhvunIrMBTOuiVjmuj04BDgNw2NtgU_jWNzAAaZKRk0jz9NnTkWfdoSWViNQ43nul_saN5Vry8xNP2by2eP6dTm1b-pT_fYF0iFqqj2VAHWMCJBsbfSM4tjBpEvv3c0f32WE-Q_oBKB_STz3eyjLgPObq2siYl9gGvY-jissSwMuvIR9acwu8JQ2lwsgr1Vx9WG7aeBODeyLkeUvmB3AKiKbltoDRa7Gtth9vnBLMyRYU2AXZRdDRTNJvQyyks6r0n2URpUwpi1oqZkh9ouiAAm24ikUGjUfltUDNtJEmZ9fikCDa6SEs3KqSh_r294K1Yfa9faM-Z5b8Kr8OKpLNJrSQDP7imamGs3ShL-wy5lQsB32HziVivGQ
6386,מלכה (אייל שני)  Malka,update,,,,https://res.cloudinary.com/dn7vbd6nn/image/upload/v1783418495/restaurants/google/restaurant_6386_google_800.jpg,google,Malka,places/ChIJCyq9Xr1ZwokRtYHX1gcbJF0/photos/AaVGc3l7jPqOLA_EPs_n1wEIf6E-B6elSaDFbrzM-LHcqPpfgSr-YFxWktG9iCpn1NEzZ5pa7maJ3MujPGeBcwK6Q-i3ev5it5bU-lsTERFEOHfgbwcjuCvCIqncOKxQG1LyzIwUkUSDnj4oGTZ6LdBy8x7YzCVO6XXuuERjohjQW7Ir9oInGM3swk8JtRFbGIjOxnfPqbq01BblsjVlZZiKrjRMGurVqaHa76djwrLckLQlZV7dML2zbxVBUv9pmx6O7h520AIYzswwAUkPp-bGlERdyy8VUztSigvV067iiSjBjisV0TA4OTHFLkTVaaS_mHhxG-ey8X7tf4gB2CouMisKqZE-kT0Dg4AhNc-VZaIKisGehIprOcg4D0l5d7ToEgP5ebbl1ImqbtSTrj1MGz-lfVAjww3iH5B4UxOT05sibKWl
