id,name,address,city,phone,rating,kashrutLevel,restaurantType,destinationId
6816,עשר,"הרב אג""ן 10, ירושלים",,,,rabbinate,,331
6854,B-FRESH - בת ים,"יוספטל 92 בת ים, בת ים",,,,rabbinate,,339
6892,King's Court Restaurant,"אגרון 26, ירושלים",,,,rabbinate,,331
6895,בוקה גדרה,"מנחם בגין 36, גדרה",,,,rabbinate,,310
7039,קרספלה - Crespella,"נחל ירקון 147, קריית גת",,,,rabbinate,,292
7061,נולי עגלת קפה סביון,"פארק הציפורים, סביון",,,,rabbinate,,322
7104,ארקפה קיסריה - כשר,"הרקיע 1, קיסריה",,,,rabbinate,,434
7155,ג'פניקה רעננה-קוויק,"זרחין 1 ב', רעננה",,,,rabbinate,,309
7192,יאשקה טאגור,"טאגור 32, תל אביב",,,,rabbinate,,348
7204,קפה 99,"הירקון 99, תל אביב",,,,rabbinate,,348
7235,Lotem Deree Bakery and Bistro,"שכניה, שכניה",,,,rabbinate,,529
7261,יקב כמיסה,"פארק תעשיות, רמת דלתון",,,,rabbinate,,529
7337,טובל,"3 Rue Gérard Monod, 06400 Cannes, France",,,,rabbinate,meat,325
7343,"חב""ד לימסול","Porfyriou Dikaiou 5, Limasol 3095, Cyprus, Limassol",,,,rabbinate,meat,315
7344,כתר,"41 Avenue Georges Clemenceau, 06000 Nice, France",,,,rabbinate,dairy,353
7350,"מסעדת ירושלים – 
חב""ד פאפוס","Othelou 5, Kato Paphos 8042, Cyprus",,,,mehadrin,meat,316
7391,La Fille du Boucher,20 rue Cardinet Paris 17ème 75017,,,,rabbinate,meat,294
7417,Wasabi Marrakech,17 Rue de Yougoslavie Marrakech,,,,rabbinate,meat,375
7552,KoseherstandZ LLC at Wrigley Field,"1060 W Addison Street, Chicago, IL, 60613, USA",,,,rabbinate,meat,466
7566,Smoke by Crunch,"6255 N McCormick Blvd,  Chicago, IL , 60659, United States",,,,rabbinate,meat,466
7678,The Holy Grill,"8975 W. Pico Blvd, Los Angeles, 90035-3332, California",,,,rabbinate,meat,465
7991,Moshe's Falafel Food Truck,"7th Avenue & W 39th St New York, NY, 10018, USA",,,,mehadrin,,463
8011,Broadway Pizza,"6965 Decarie Blvd,  Montreal, Quebec , H3W 0B6, Canada",,,,rabbinate,dairy,479
8127,Kosher Food London,"London, United Kingdom (UK)",,,,rabbinate,meat,333
8293,Le Tavlyn,"19 Av. Auber Nice, 06000, France",,,,rabbinate,meat,353
8302,OKLM,"14 Rue Marceau, Cannes, 06400, France",,,,rabbinate,meat,325
8319,Pizza Prego & Backshop,"Taborstraße 43, Vienna, 1020, Austria",,,,rabbinate,dairy,484
8358,Dolce Kosher,"Via Fonteiana,18, Rome, 00152, Italy",,,,rabbinate,,373
8375,Heimishe Trdelaich,"Široká 4, 110 00, Czechia",,,,rabbinate,,323
8378,Mizlala Prague,"Hybernská 26 Prague, 110 00, Czech Republic",,,,rabbinate,meat,323
8387,El Falafel de Shani,"La Boqueria food market, La Rambla, 91 Mercat de la Boqueria, Barcelona, 08001, Spain",,,,rabbinate,dairy,356
8394,Le J Restaurant,"R. de Vale Formoso 314, Porto, 4200-509, Portugal",,,,rabbinate,meat,297
8397,Deli 613 - Chabad of Ireland,"89 Rathmines Road Upper,  Dublin 6, Ireland",,,,mehadrin,meat,307
8435,Sambation Cyprus,"Apollodorou 4, Larnaca, 6020, Cyprus",,,,rabbinate,meat,363
8465,Treat Kosher - Kosher Catering,"Al Quoz Industrial Area 3 9b Warehouse 5 & 6, Building 1, Dubai, United Arab Emirates",,,,rabbinate,meat,340
