id,final,source,reason,old_name,old_address,city,country,country_code,old_lat,old_lng,place_id,google_name,google_address,google_lat,google_lng,business_status,google_primary_type,google_types,google_maps_uri,google_phone,google_rating,google_rating_count,google_opening_hours,has_photo,google_photo_name,google_photo_attribution
7427,verified,rules-yes,unique name matches + same city,O'kaffe,R. Prof. Joaquim Bastos 9 Porto,Porto,Portugal,PT,41.1686025,-8.6122802,ChIJA94PQgBlJA0RSjuQq2HtPQg,O'kaffe kosher,"R. Prof. Joaquim Bastos 9, 4200-604 Porto, Portugal",41.1686792,-8.612215299999999,CLOSED_TEMPORARILY,restaurant,restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=593891729628740426&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,910 079 657,4.4,14,,no,,
8392,verified,rules-yes,unique name matches + same city,Hotel da Música,"Largo de Ferreira Lapa 21, Porto, 4150-323, Portugal",Porto,Portugal,PT,41.1502195,-8.6103497,ChIJrfpZ9AhlJA0RDRwt5Ox15vs,Hotel da Música,"Mercado do Bom Sucesso, Largo Ferreira Lapa, 21 a 183, 4150-323 Porto, Portugal",41.156361,-8.629254699999999,OPERATIONAL,hotel,hotel;parking_garage;parking_lot;parking;transportation_service;bar;lodging;service;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=18151325008464256013&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,22 607 6000,4.4,1845,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,yes,places/ChIJrfpZ9AhlJA0RDRwt5Ox15vs/photos/AaVGc3lx6D7dByKOJzUiw3RyESHn1gZtA0mCkteu-Gpl0NmpWPsz6CPZX7KWxBW2469LqgmDNxx6IIcuydIYJRU6m6EuGFReZQfscBoYLu2gptjvIX6dFAc_PSc1EDqrflZCbrckKTGiVTBjOLq79IyWTpUXeQOjICfGDqQRFwm4pxLYv3ByJkeGLiJ1dhHovLa4sEKFUp6ySVoJu0c1Rowrem6bXT42Y8ksTrnq9CSsuloN3WzgG6B7aFAMjRUUitWUtBSvwijR5os9ibf0OyIsFiXAJS_wQxRbKMcKVVWYQmY0RDn7SsmfijJQcb7IygoiVcLHr7rPe9-XcGdKqQWwyz7R7UvViO67bXjXvOZEWnunEivHcmCjVwHAY42BRout-SunikVSwYAKQiEWklBRaFMtvOErYu3XHb0hOa2nZx510Ylh,Hotel da Música
8393,verified,rules-yes,unique name matches + same city,Iberia Kosher Restaurant by Sababa - TEMPORARILY CLOSED,"Rua campo Alegre 676 Porto, 4150-170, Portugal",Porto,Portugal,PT,41.1502195,-8.6103497,ChIJ8eenU4tlJA0RNcVxOYQ3u6o,Iberia sababa kosher restaurant,"Rua do Campo Alegre 676, 4150-171 Porto, Portugal",41.1527677,-8.636472399999999,CLOSED_PERMANENTLY,restaurant,restaurant;point_of_interest;food;establishment,https://maps.google.com/?cid=12302487848131609909&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,910 079 657,4.6,143,,yes,places/ChIJ8eenU4tlJA0RNcVxOYQ3u6o/photos/AaVGc3nBUvtcSu3fWd3LK7I8Vo9Fsy_uUrr-L8bVFg9dtyUUFYPgxyKf3VeO5b0CEddHodyD98ff5CFGMdINYoeCgvHFxLk38KZ0JrtXCN8LNbu6ROS_rPlS0SNW9-0rwYeuM_NcsBoFEJAr1beWjFzyvBjvaepOQy2VZzZzTwgWF7FLZv4X5jpA5Kx_l1eD03ArUyJn19b9hKqcyEF80uVzAIBygDIbvXvdKzFFTaeptw4R4qW8BhabZFhocopIbCMh6gXdRir32Pmda1GW2NAke3Tas9iKIpv3U5VAeQUhZvoBLAPzUwegGHG7a6iwQz0RqFTS8soEsqvhiEzUYVcgmERX4a8xV_C3XdpEdNe5JIM5KF8ZLhMgrCwJ5fLrusYUPeJBHosrBUp0-aLM3DwnbvhtBha7KumkP-mMzMDI35idx_E2,Ephraim B
8394,verified,llm-yes,"LLM אישר (0.95): Same exact address (R. de Vale Formoso 314, Porto 4200-509), same city, same kosher restaurant. B's full name 'Restaurant et sandwicherie casher - Le J' is a more descriptive version of A's 'Le J Restaurant'. House number exact match, street exact match, coordinates effectively identical. The deterministic assessment was overly conservative - the name match is clearly the same establishment.",Le J Restaurant,"R. de Vale Formoso 314, Porto, 4200-509, Portugal",Porto,Portugal,PT,41.1502195,-8.6103497,ChIJq8JTA_JlJA0R5ovqqZHUEAk,Restaurant et sandwicherie casher - Le J,"R. de Vale Formoso 314, 4200-509 Porto, Portugal",41.1682991,-8.6121871,OPERATIONAL,restaurant,sandwich_shop;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=653255668054789094&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,07 60 97 99 41,4.9,509,"Monday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Tuesday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Wednesday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Thursday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Friday: 12:30 – 4:00 PM | Saturday: Closed | Sunday: 1:00 – 4:30 PM, 7:30 – 10:30 PM",yes,places/ChIJq8JTA_JlJA0R5ovqqZHUEAk/photos/AaVGc3kKzZjgCUL8_IL-SJdIVloEQjlIYMka2dPoSMBTBYUzviTHfWmALm7_FallyC7Lpf4uja92cgsIJzrmk6pE2rndX4oj5OsDBTpjNDw8CBDm-yODjYWSqlLgH2Ce_CAtMDcI_XSqnOwgDdL0MHvRqNgbDf-OAkHFCa0-0RlKD6HefiwK0vbORsMeooywEQ-F6auLHMJpYjEJnhppiPVLx-SqqAG-7zwTwxEH7KYWWNAfdD49PVt9_8SwUnVKiYbbLtmTHrKRLkV1-7LCHf-jbbiGfioKDRxnJ1MmpdWx2pKJoM1To-Rsr1XbtxHy-rg59S06EI2vYAa1yST5zdEiZ5GkisxH1wXYWGgHTFbeNWtbPOzhxybtohSwXD88z9fadc_xKrY1m9nO7kk_wwUb7Qu8U-HSeSwZ3Co2-gnbFFx5tCk,Le J
8395,no_match,rules-no,weak name/address match,Sababa Porto Kosher Catering,"R. de Guerra Junqueiro, 340, Porto, 4150-386, Portugal",Porto,Portugal,PT,41.1502195,-8.6103497,ChIJq8JTA_JlJA0R5ovqqZHUEAk,Restaurant et sandwicherie casher - Le J,"R. de Vale Formoso 314, 4200-509 Porto, Portugal",41.1682991,-8.6121871,OPERATIONAL,restaurant,sandwich_shop;restaurant;food;point_of_interest;establishment,https://maps.google.com/?cid=653255668054789094&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,07 60 97 99 41,4.9,509,"Monday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Tuesday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Wednesday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Thursday: 12:30 – 4:00 PM, 7:30 – 10:30 PM | Friday: 12:30 – 4:00 PM | Saturday: Closed | Sunday: 1:00 – 4:30 PM, 7:30 – 10:30 PM",yes,places/ChIJq8JTA_JlJA0R5ovqqZHUEAk/photos/AaVGc3kKzZjgCUL8_IL-SJdIVloEQjlIYMka2dPoSMBTBYUzviTHfWmALm7_FallyC7Lpf4uja92cgsIJzrmk6pE2rndX4oj5OsDBTpjNDw8CBDm-yODjYWSqlLgH2Ce_CAtMDcI_XSqnOwgDdL0MHvRqNgbDf-OAkHFCa0-0RlKD6HefiwK0vbORsMeooywEQ-F6auLHMJpYjEJnhppiPVLx-SqqAG-7zwTwxEH7KYWWNAfdD49PVt9_8SwUnVKiYbbLtmTHrKRLkV1-7LCHf-jbbiGfioKDRxnJ1MmpdWx2pKJoM1To-Rsr1XbtxHy-rg59S06EI2vYAa1yST5zdEiZ5GkisxH1wXYWGgHTFbeNWtbPOzhxybtohSwXD88z9fadc_xKrY1m9nO7kk_wwUb7Qu8U-HSeSwZ3Co2-gnbFFx5tCk,Le J
